id	date	time	dateTime	site	type	si	no2	nn	no3	nh4	po4	notes	rDateTime	precipitation
80	10/10/2019	12:28:00	10/10/2019 12:28	S Mac	ammonium	NA	NA	NA	NA	1.26	NA	NA	10/10/2019 12:28	wet
82	11/4/2019	9:45:00	11/4/2019 9:45	Emerald	ammonium	NA	NA	NA	NA	2.02	NA	NA	11/4/2019 9:45	dry
84	11/4/2019	10:20:00	11/4/2019 10:20	N Mac	ammonium	NA	NA	NA	NA	2.1	NA	NA	11/4/2019 10:20	dry
86	11/4/2019	12:45:00	11/4/2019 12:45	Star	ammonium	NA	NA	NA	NA	4.24	NA	NA	11/4/2019 12:45	dry
88	11/4/2019	11:20:00	11/4/2019 11:20	S Mac	ammonium	NA	NA	NA	NA	3.49	NA	NA	11/4/2019 11:20	dry
90	11/25/2019	9:15:00	11/25/2019 9:15	Emerald	ammonium	NA	NA	NA	NA	2.28	NA	NA	11/25/2019 9:15	dry
92	11/25/2019	10:22:00	11/25/2019 10:22	N Mac	ammonium	NA	NA	NA	NA	4.92	NA	NA	11/25/2019 10:22	dry
94	11/25/2019	10:55:00	11/25/2019 10:55	Star	ammonium	NA	NA	NA	NA	1.9	NA	NA	11/25/2019 10:55	dry
96	11/25/2019	11:28:00	11/25/2019 11:28	S Mac	ammonium	NA	NA	NA	NA	3.22	NA	NA	11/25/2019 11:28	dry
1	2/6/2019	9:20:00	2/6/2019 9:20	Emerald	np	0	0.05	0.49	0.44	NA	0.05	NA	2/6/2019 9:20	dry
3	2/6/2019	10:00:00	2/6/2019 10:00	N Mac	np	3.4	0.1	1.3	1.2	NA	0.04	NA	2/6/2019 10:00	dry
5	2/6/2019	10:40:00	2/6/2019 10:40	Star	np	1	0.06	0.62	0.56	NA	0.05	NA	2/6/2019 10:40	dry
7	2/6/2019	11:00:00	2/6/2019 11:00	S Mac	np	0.5	0.07	0.57	0.5	NA	0.04	NA	2/6/2019 11:00	dry
9	3/12/2019	12:05:00	3/12/2019 12:05	Emerald	np	0.6	0	0.21	0.21	NA	0.02	NA	3/12/2019 12:05	dry
11	3/12/2019	13:05:00	3/12/2019 13:05	N Mac	np	4.1	0.09	0.85	0.76	NA	0.01	NA	3/12/2019 13:05	dry
13	3/12/2019	13:40:00	3/12/2019 13:40	Star	np	1.3	0.05	0.46	0.41	NA	0.01	NA	3/12/2019 13:40	dry
15	3/12/2019	14:05:00	3/12/2019 14:05	S Mac	np	0.8	0.05	0.36	0.31	NA	0.02	NA	3/12/2019 14:05	dry
17	3/27/2019	9:15:00	3/27/2019 9:15	Emerald	np	0.7	0.01	0.14	0.12	NA	0.01	NA	3/27/2019 9:15	dry
19	3/27/2019	10:10:00	3/27/2019 10:10	N Mac	np	10	0.1	1.25	1.15	NA	0.02	NA	3/27/2019 10:10	dry
21	3/27/2019	10:50:00	3/27/2019 10:50	Star	np	7	0.13	1.25	1.13	NA	0.02	NA	3/27/2019 10:50	dry
23	3/27/2019	11:50:00	3/27/2019 11:50	S Mac	np	3.9	0.1	0.8	0.7	NA	0.02	NA	3/27/2019 11:50	dry
25	4/26/2019	10:00:00	4/26/2019 10:00	Emerald	np	9.2	0.02	0.43	0.42	NA	1.45	NA	4/26/2019 10:00	dry
27	4/26/2019	12:00:00	4/26/2019 12:00	N Mac	np	3.6	0.07	0.61	0.54	NA	0.03	NA	4/26/2019 12:00	dry
