mean_daily_temp.max_SST,mean_daily_temp.min_SST,Temp.seasonal_SST,maxDHW_SST,mean_daily_temp.max_insitu,mean_daily_temp.min_insitu,Temp.seasonal_insitu,CCC,Nursery
30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
30.52,25.58,4.94,1.04335195852535,31.589175,23.4400916666667,8.14908333333333,1,0
30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
30.54,25.81,4.73,0.146183755760369,31.0646666666667,25.6754166666667,5.38925,0,1
