site,season,sample_size,mean_temp,sd_temp,max_temp,min_temp
CCC,Dry,2625,24.777145866666668,2.0636419345033112,29.3349,19.7403
CCC,Wet,1716,29.57907733100233,1.0497967586412844,31.8587,25.8261
Nursery,Dry,2653,25.547723709008668,1.6492283821808194,29.552,21.569
Nursery,Wet,1724,29.530283642691415,1.0149446709182608,31.472,26
