gene_id,1087_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1089_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1090_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1091_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1092_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1096_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1097_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1098_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1099_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2263_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2265_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2266_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2267_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2268_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2382_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2383_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2384_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf
Acerv_evm.TU.Segkk3336_pilon.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Acerv_evm.TU.Segkk3336_pilon.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.TU.Segkk3336_pilon.5,0,0,1,0,1,0,0,0,0,15,0,0,0,0,0,10,0
MSTRG.10522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37303,12,448,310,122,221,285,14,1,116,449,234,583,676,890,359,9,87
Acerv_evm.model.Segkk2002_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10526,0,66,34,23,52,31,0,0,16,48,117,129,67,93,24,0,0
MSTRG.37304,0,5,37,0,0,28,0,0,0,71,98,36,0,0,0,0,1
MSTRG.10524,0,0,73,0,35,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10525,0,316,0,485,331,226,0,0,50,160,231,409,262,145,102,0,0
MSTRG.37308,0,0,255,0,384,0,26,0,0,62,0,238,0,0,0,0,0
MSTRG.10528,0,18,29,55,10,26,0,0,1,1,11,328,45,0,3,0,0
MSTRG.10529,2,556,795,266,229,424,1,0,74,409,747,751,1217,1302,162,3,154
Acerv_evm.TU.Segkk2728_pilon.3,0,0,2,0,8,0,0,1,0,2,1,0,0,0,0,0,0
Acerv_evm.model.Segkk197_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lys_172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lys_170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
