transcript_id,1087_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1089_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1090_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1091_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1092_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1096_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1097_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1098_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,1099_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2263_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2265_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2266_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2267_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2268_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2382_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2383_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf,2384_trimmed_trimmed.fastq.gzAligned.sortedByCoord.out.bam_reestimated.merge.gtf
MSTRG.27466.1,0,15,18,0,9,0,1,0,35,27,0,0,0,0,0,0,13
Acerv_evm.model.Segkk3965_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.17747.1,0,4,30,0,0,0,16,0,0,6,0,0,7,42,3,17,0
MSTRG.18103.1,0,38,28,96,42,0,37,3,31,0,0,132,15,27,8,0,90
Acerv_evm.model.Segkk2002_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3965_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk1789_pilon.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3965_pilon.3,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3965_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.44203.1,0,0,0,5,0,0,0,0,0,1,1,0,91,0,25,0,102
Acerv_evm.model.Segkk2402_pilon.2,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3761_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3965_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3965_pilon.8,0,144,189,46,61,225,0,0,0,36,0,514,257,133,100,0,0
MSTRG.16084.1,0,77,25,66,4,19,0,0,6,28,88,43,83,53,15,0,0
MSTRG.18082.1,214,939,940,380,337,821,1585,867,1279,1149,755,572,948,1003,565,573,599
MSTRG.27629.1,0,94,77,47,22,42,0,0,65,20,1,1,66,4,12,0,3
MSTRG.22689.1,94,8614,5238,4123,3079,7604,288,124,1931,4580,4307,4390,4373,6494,1704,32,898
MSTRG.44312.1,0,6,0,69,134,1,0,0,0,18,0,0,0,39,17,0,0
MSTRG.37810.1,0,13,0,0,15,0,0,0,0,24,0,250,0,0,4,5,15
MSTRG.43962.1,3,72,217,111,41,171,13,0,16,234,177,133,38,118,49,0,25
Acerv_evm.model.Segkk1027_pilon.4,0,0,0,3,0,26,0,0,1,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk1027_pilon.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk974_pilon.5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3473_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk974_pilon.3,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Acerv_evm.model.Segkk974_pilon.2,1,6,123,73,26,82,52,0,0,2,42,141,111,9,1,0,1
Acerv_evm.model.Segkk1027_pilon.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk1027_pilon.3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37973.1,0,25,154,320,130,19,154,20,359,33,33,187,69,25,4,0,132
MSTRG.37190.1,0,12,0,91,79,62,0,0,7,0,0,149,0,0,13,0,0
MSTRG.40055.1,0,343,120,223,0,32,0,0,0,390,255,359,260,251,128,14,98
MSTRG.38482.1,0,0,17,0,0,0,0,0,0,0,0,130,9,0,0,0,0
MSTRG.26105.1,1,107,109,163,114,179,26,0,105,104,90,49,65,78,2,0,301
Acerv_evm.model.Segkk11_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3473_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.40309.1,0,11,6,0,1,28,0,0,0,49,0,14,0,0,1,0,0
MSTRG.154.1,0,6,132,169,56,96,0,2,50,0,0,509,38,0,6,0,112
MSTRG.43347.1,0,53,23,9,0,7,0,0,21,18,0,7,6,9,2,0,0
Acerv_evm.model.Segkk3473_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.9311.1,0,53,117,102,89,97,0,0,49,105,22,31,77,68,0,0,72
MSTRG.2279.1,0,21,0,87,122,0,0,0,11,25,0,0,0,0,3,0,5
Acerv_evm.model.Segkk39_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.27333.1,0,0,4,98,131,0,77,0,0,104,0,87,126,9,0,0,154
MSTRG.35863.1,2,96,981,189,130,418,0,2,29,146,131,724,1503,1589,129,0,58
Acerv_evm.model.Segkk637_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk355_pilon.17,0,0,0,0,0,16,0,0,0,6,0,0,0,0,0,0,0
Acerv_evm.model.Segkk1337_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3856_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3856_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3856_pilon.6,0,0,0,2,0,0,0,0,0,1,0,2,0,1,1,0,1
MSTRG.18113.1,0,9,0,106,109,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3856_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.14539.1,0,0,0,0,0,0,0,0,0,29,0,28,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.4,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk2004_pilon.7,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
Acerv_evm.model.Segkk1832_pilon.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.2381.1,0,875,654,577,323,474,0,1,27,565,493,834,1103,587,318,0,95
Acerv_evm.model.Segkk637_pilon.2,0,372,5208,4758,1910,1442,0,0,8393,401,386,1544,443,64,49,0,1223
MSTRG.17339.1,0,52,794,540,199,32,161,332,448,1,0,39,40,7,0,0,112
MSTRG.45078.1,43,3407,2083,1278,925,1872,276,115,876,1904,1742,1419,3023,3517,934,145,860
Acerv_evm.model.Segkk57_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33209.1,0,46,36,94,1,106,0,0,0,3,186,135,0,247,53,0,0
MSTRG.21978.1,0,9,95,0,28,71,0,0,1,9,0,10,26,5,4,0,0
MSTRG.25844.1,0,0,0,55,21,0,0,0,0,0,1,0,0,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.40549.1,0,56,153,3,3,50,0,0,0,6,18,0,123,15,32,0,0
Acerv_evm.model.Segkk355_pilon.11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Acerv_evm.model.Segkk46_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk46_pilon.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.22480.1,3,9313,4952,3894,2339,5408,40,23,793,7004,4629,9950,7887,7051,3217,0,1289
Acerv_evm.model.Segkk3643_pilon.26,0,15,33,54,0,0,0,0,0,4,0,0,0,0,0,0,0
MSTRG.14469.1,0,84,118,153,11,0,1,1,1,172,0,88,138,4,4,0,67
Acerv_evm.model.Segkk3643_pilon.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15494.1,0,330,324,373,219,183,0,0,84,444,158,890,615,244,84,0,90
MSTRG.20049.1,0,0,13,43,0,159,0,0,0,27,62,23,0,0,0,0,0
Acerv_evm.model.Segkk1899_pilon.2,8,712,544,874,565,467,482,78,475,659,159,1349,845,353,147,1,433
Acerv_evm.model.Segkk4262_pilon.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk114_pilon.8,0,221,168,263,195,233,0,0,0,195,294,67,397,449,163,0,0
MSTRG.4153.1,0,0,10,112,24,0,0,0,0,0,153,0,0,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.23,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4262_pilon.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk4262_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk114_pilon.1,0,1494,713,632,335,811,0,3,132,659,508,771,752,569,383,0,49
Acerv_evm.model.Segkk114_pilon.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acerv_evm.model.Segkk3643_pilon.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31559.1,2,623,409,256,134,165,6,0,53,401,124,260,463,387,100,0,217
Acerv_evm.model.Segkk114_pilon.4,0,352,436,541,338,442,4,0,152,476,293,1006,966,1334,252,0,198
Acerv_evm.model.Segkk114_pilon.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
