Plot Title: KBN.12.08.21,,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 21236769, SEN S/N: 21236769)","Intensity, lum/ft² (LGR S/N: 21236769, SEN S/N: 21236769)",Coupler Attached (LGR S/N: 21236769),Host Connected (LGR S/N: 21236769),Stopped (LGR S/N: 21236769),End Of File (LGR S/N: 21236769)
134,12/19/2021 12:00,26.585,464,,,,
135,12/19/2021 14:00,26.39,144,,,,
136,12/19/2021 16:00,26.292,35,,,,
137,12/19/2021 18:00,26.195,0,,,,
138,12/19/2021 20:00,26.39,0,,,,
139,12/19/2021 22:00,26.39,0,,,,
140,12/20/2021 0:00,26.39,0,,,,
141,12/20/2021 2:00,26.292,0,,,,
142,12/20/2021 4:00,26.292,0,,,,
143,12/20/2021 6:00,26.195,0,,,,
144,12/20/2021 8:00,26.292,51,,,,
145,12/20/2021 10:00,26.585,464,,,,
146,12/20/2021 12:00,26.781,464,,,,
147,12/20/2021 14:00,26.585,232,,,,
148,12/20/2021 16:00,26.488,192,,,,
149,12/20/2021 18:00,26.292,0,,,,
150,12/20/2021 20:00,26.292,0,,,,
151,12/20/2021 22:00,26.195,0,,,,
152,12/21/2021 0:00,26.195,0,,,,
153,12/21/2021 2:00,26.195,0,,,,
154,12/21/2021 4:00,26,0,,,,
155,12/21/2021 6:00,25.902,0,,,,
156,12/21/2021 8:00,25.902,44,,,,
157,12/21/2021 10:00,26.195,200,,,,
158,12/21/2021 12:00,26.097,77,,,,
159,12/21/2021 14:00,26.097,63,,,,
160,12/21/2021 16:00,26,26,,,,
161,12/21/2021 18:00,25.902,0,,,,
162,12/21/2021 20:00,25.902,0,,,,
163,12/21/2021 22:00,26,0,,,,
164,12/22/2021 0:00,26.097,0,,,,
165,12/22/2021 2:00,25.513,0,,,,
166,12/22/2021 4:00,25.513,0,,,,
167,12/22/2021 6:00,25.513,0,,,,
168,12/22/2021 8:00,25.61,25,,,,
169,12/22/2021 10:00,25.805,64,,,,
170,12/22/2021 12:00,25.902,144,,,,
171,12/22/2021 14:00,26.097,128,,,,
172,12/22/2021 16:00,25.902,40,,,,
173,12/22/2021 18:00,25.902,0,,,,
174,12/22/2021 20:00,26,0,,,,
175,12/22/2021 22:00,26.097,0,,,,
176,12/23/2021 0:00,25.708,0,,,,
177,12/23/2021 2:00,24.931,0,,,,
178,12/23/2021 4:00,24.545,0,,,,
179,12/23/2021 6:00,24.641,0,,,,
180,12/23/2021 8:00,24.931,25,,,,
181,12/23/2021 10:00,25.416,90,,,,
182,12/23/2021 12:00,26,160,,,,
183,12/23/2021 14:00,24.835,272,,,,
184,12/23/2021 16:00,24.931,81,,,,
185,12/23/2021 18:00,24.738,0,,,,
186,12/23/2021 20:00,24.448,0,,,,
187,12/23/2021 22:00,25.319,0,,,,
188,12/24/2021 0:00,26,0,,,,
189,12/24/2021 2:00,25.902,0,,,,
190,12/24/2021 4:00,25.708,0,,,,
191,12/24/2021 6:00,25.805,0,,,,
192,12/24/2021 8:00,26.585,86,,,,
193,12/24/2021 10:00,26.781,113,,,,
194,12/24/2021 12:00,26.977,152,,,,
195,12/24/2021 14:00,27.37,144,,,,
196,12/24/2021 16:00,26.781,71,,,,
197,12/24/2021 18:00,26.585,0,,,,
198,12/24/2021 20:00,26.488,0,,,,
199,12/24/2021 22:00,26.488,0,,,,
200,12/25/2021 0:00,26.488,0,,,,
201,12/25/2021 2:00,26.488,0,,,,
202,12/25/2021 4:00,26.39,0,,,,
203,12/25/2021 6:00,26.292,0,,,,
204,12/25/2021 8:00,26.292,44,,,,
205,12/25/2021 10:00,26.683,126,,,,
206,12/25/2021 12:00,27.37,168,,,,
207,12/25/2021 14:00,26.683,192,,,,
208,12/25/2021 16:00,26.585,464,,,,
209,12/25/2021 18:00,26.195,0,,,,
210,12/25/2021 20:00,26.097,0,,,,
211,12/25/2021 22:00,26.195,0,,,,
212,12/26/2021 0:00,26.39,0,,,,
213,12/26/2021 2:00,26.39,0,,,,
214,12/26/2021 4:00,26.292,0,,,,
215,12/26/2021 6:00,26.292,0,,,,
216,12/26/2021 8:00,26.195,200,,,,
217,12/26/2021 10:00,26.39,144,,,,
218,12/26/2021 12:00,26.683,160,,,,
219,12/26/2021 14:00,26.781,576,,,,
220,12/26/2021 16:00,26.585,232,,,,
221,12/26/2021 18:00,26.097,0,,,,
222,12/26/2021 20:00,25.902,0,,,,
223,12/26/2021 22:00,26.097,0,,,,
224,12/27/2021 0:00,26.097,0,,,,
225,12/27/2021 2:00,26.195,0,,,,
226,12/27/2021 4:00,26.195,0,,,,
227,12/27/2021 6:00,26.097,0,,,,
228,12/27/2021 8:00,26,48,,,,
229,12/27/2021 10:00,26.195,119,,,,
230,12/27/2021 12:00,26.585,144,,,,
231,12/27/2021 14:00,26.683,288,,,,
232,12/27/2021 16:00,26.292,512,,,,
233,12/27/2021 18:00,26.097,0,,,,
234,12/27/2021 20:00,26.097,0,,,,
235,12/27/2021 22:00,26,0,,,,
236,12/28/2021 0:00,26,0,,,,
237,12/28/2021 2:00,26,0,,,,
238,12/28/2021 4:00,26,0,,,,
239,12/28/2021 6:00,25.902,0,,,,
240,12/28/2021 8:00,25.708,93,,,,
241,12/28/2021 10:00,26,111,,,,
242,12/28/2021 12:00,25.902,152,,,,
243,12/28/2021 14:00,26.097,176,,,,
244,12/28/2021 16:00,26.097,80,,,,
245,12/28/2021 18:00,26,0,,,,
246,12/28/2021 20:00,25.902,0,,,,
247,12/28/2021 22:00,25.61,0,,,,
248,12/29/2021 0:00,25.416,0,,,,
249,12/29/2021 2:00,25.416,0,,,,
250,12/29/2021 4:00,25.61,0,,,,
251,12/29/2021 6:00,25.708,0,,,,
252,12/29/2021 8:00,25.708,192,,,,
253,12/29/2021 10:00,25.902,288,,,,
254,12/29/2021 12:00,25.513,216,,,,
255,12/29/2021 14:00,25.513,97,,,,
256,12/29/2021 16:00,25.902,59,,,,
257,12/29/2021 18:00,25.902,0,,,,
258,12/29/2021 20:00,25.805,0,,,,
259,12/29/2021 22:00,25.319,0,,,,
260,12/30/2021 0:00,25.125,0,,,,
261,12/30/2021 2:00,25.416,0,,,,
262,12/30/2021 4:00,25.708,0,,,,
263,12/30/2021 6:00,25.708,0,,,,
264,12/30/2021 8:00,25.708,87,,,,
265,12/30/2021 10:00,25.805,704,,,,
266,12/30/2021 12:00,25.61,200,,,,
267,12/30/2021 14:00,25.61,100,,,,
268,12/30/2021 16:00,25.805,45,,,,
269,12/30/2021 18:00,25.805,0,,,,
270,12/30/2021 20:00,25.805,0,,,,
271,12/30/2021 22:00,25.61,0,,,,
272,12/31/2021 0:00,25.61,0,,,,
273,12/31/2021 2:00,25.708,0,,,,
274,12/31/2021 4:00,25.61,0,,,,
275,12/31/2021 6:00,25.61,0,,,,
276,12/31/2021 8:00,25.708,25,,,,
277,12/31/2021 10:00,25.902,240,,,,
278,12/31/2021 12:00,25.805,200,,,,
279,12/31/2021 14:00,25.805,117,,,,
280,12/31/2021 16:00,25.708,84,,,,
281,12/31/2021 18:00,25.61,0,,,,
282,12/31/2021 20:00,25.61,0,,,,
283,12/31/2021 22:00,25.513,0,,,,
284,1/1/2022 0:00,25.222,0,,,,
285,1/1/2022 2:00,25.125,0,,,,
286,1/1/2022 4:00,25.319,0,,,,
287,1/1/2022 6:00,25.513,0,,,,
288,1/1/2022 8:00,25.513,23,,,,
289,1/1/2022 10:00,25.805,168,,,,
290,1/1/2022 12:00,25.319,121,,,,
291,1/1/2022 14:00,25.319,144,,,,
292,1/1/2022 16:00,25.319,28,,,,
293,1/1/2022 18:00,25.416,0,,,,
294,1/1/2022 20:00,25.416,0,,,,
