"Plot Title: KBN_5.28.2021"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 21085862, SEN S/N: 21085862)","Coupler Attached (LGR S/N: 21085862)","Host Connected (LGR S/N: 21085862)","Stopped (LGR S/N: 21085862)","End Of File (LGR S/N: 21085862)"
123,06/07/21 01:00:00 PM,29.452,,,,
124,06/07/21 03:00:00 PM,29.552,,,,
125,06/07/21 05:00:00 PM,29.452,,,,
126,06/07/21 07:00:00 PM,28.953,,,,
127,06/07/21 09:00:00 PM,28.159,,,,
128,06/07/21 11:00:00 PM,28.060,,,,
129,06/08/21 01:00:00 AM,28.258,,,,
130,06/08/21 03:00:00 AM,28.555,,,,
131,06/08/21 05:00:00 AM,28.159,,,,
132,06/08/21 07:00:00 AM,28.258,,,,
133,06/08/21 09:00:00 AM,28.258,,,,
134,06/08/21 11:00:00 AM,28.655,,,,
135,06/08/21 01:00:00 PM,29.053,,,,
136,06/08/21 03:00:00 PM,29.352,,,,
137,06/08/21 05:00:00 PM,29.152,,,,
138,06/08/21 07:00:00 PM,28.456,,,,
139,06/08/21 09:00:00 PM,28.060,,,,
140,06/08/21 11:00:00 PM,27.961,,,,
141,06/09/21 01:00:00 AM,27.961,,,,
142,06/09/21 03:00:00 AM,28.555,,,,
143,06/09/21 05:00:00 AM,28.258,,,,
144,06/09/21 07:00:00 AM,27.862,,,,
145,06/09/21 09:00:00 AM,28.357,,,,
146,06/09/21 11:00:00 AM,28.555,,,,
147,06/09/21 01:00:00 PM,28.754,,,,
148,06/09/21 03:00:00 PM,28.953,,,,
149,06/09/21 05:00:00 PM,28.953,,,,
150,06/09/21 07:00:00 PM,28.655,,,,
151,06/09/21 09:00:00 PM,28.258,,,,
152,06/09/21 11:00:00 PM,27.961,,,,
153,06/10/21 01:00:00 AM,28.060,,,,
154,06/10/21 03:00:00 AM,28.655,,,,
155,06/10/21 05:00:00 AM,28.555,,,,
156,06/10/21 07:00:00 AM,28.456,,,,
157,06/10/21 09:00:00 AM,28.258,,,,
158,06/10/21 11:00:00 AM,28.555,,,,
159,06/10/21 01:00:00 PM,28.754,,,,
160,06/10/21 03:00:00 PM,29.252,,,,
161,06/10/21 05:00:00 PM,29.252,,,,
162,06/10/21 07:00:00 PM,28.754,,,,
163,06/10/21 09:00:00 PM,28.258,,,,
164,06/10/21 11:00:00 PM,28.060,,,,
165,06/11/21 01:00:00 AM,27.961,,,,
166,06/11/21 03:00:00 AM,28.159,,,,
167,06/11/21 05:00:00 AM,28.357,,,,
168,06/11/21 07:00:00 AM,28.357,,,,
169,06/11/21 09:00:00 AM,28.555,,,,
170,06/11/21 11:00:00 AM,28.853,,,,
171,06/11/21 01:00:00 PM,28.853,,,,
172,06/11/21 03:00:00 PM,29.652,,,,
173,06/11/21 05:00:00 PM,29.552,,,,
174,06/11/21 07:00:00 PM,28.953,,,,
175,06/11/21 09:00:00 PM,28.456,,,,
176,06/11/21 11:00:00 PM,28.060,,,,
177,06/12/21 01:00:00 AM,28.060,,,,
178,06/12/21 03:00:00 AM,28.456,,,,
179,06/12/21 05:00:00 AM,28.953,,,,
180,06/12/21 07:00:00 AM,28.754,,,,
181,06/12/21 09:00:00 AM,28.655,,,,
182,06/12/21 11:00:00 AM,28.655,,,,
183,06/12/21 01:00:00 PM,28.853,,,,
184,06/12/21 03:00:00 PM,29.352,,,,
185,06/12/21 05:00:00 PM,28.953,,,,
186,06/12/21 07:00:00 PM,28.853,,,,
187,06/12/21 09:00:00 PM,28.456,,,,
188,06/12/21 11:00:00 PM,28.258,,,,
189,06/13/21 01:00:00 AM,28.258,,,,
190,06/13/21 03:00:00 AM,28.159,,,,
191,06/13/21 05:00:00 AM,28.258,,,,
192,06/13/21 07:00:00 AM,28.555,,,,
193,06/13/21 09:00:00 AM,28.555,,,,
194,06/13/21 11:00:00 AM,28.754,,,,
195,06/13/21 01:00:00 PM,28.853,,,,
196,06/13/21 03:00:00 PM,29.252,,,,
197,06/13/21 05:00:00 PM,29.352,,,,
198,06/13/21 07:00:00 PM,29.252,,,,
199,06/13/21 09:00:00 PM,29.152,,,,
200,06/13/21 11:00:00 PM,28.754,,,,
201,06/14/21 01:00:00 AM,28.357,,,,
202,06/14/21 03:00:00 AM,28.357,,,,
203,06/14/21 05:00:00 AM,28.258,,,,
204,06/14/21 07:00:00 AM,28.456,,,,
205,06/14/21 09:00:00 AM,28.953,,,,
206,06/14/21 11:00:00 AM,28.953,,,,
207,06/14/21 01:00:00 PM,28.555,,,,
208,06/14/21 03:00:00 PM,28.555,,,,
209,06/14/21 05:00:00 PM,28.456,,,,
210,06/14/21 07:00:00 PM,28.357,,,,
211,06/14/21 09:00:00 PM,28.258,,,,
212,06/14/21 11:00:00 PM,28.159,,,,
213,06/15/21 01:00:00 AM,28.159,,,,
214,06/15/21 03:00:00 AM,28.159,,,,
215,06/15/21 05:00:00 AM,28.060,,,,
216,06/15/21 07:00:00 AM,28.060,,,,
217,06/15/21 09:00:00 AM,28.258,,,,
218,06/15/21 11:00:00 AM,28.754,,,,
219,06/15/21 01:00:00 PM,29.053,,,,
220,06/15/21 03:00:00 PM,28.655,,,,
221,06/15/21 05:00:00 PM,28.754,,,,
222,06/15/21 07:00:00 PM,28.655,,,,
223,06/15/21 09:00:00 PM,28.754,,,,
224,06/15/21 11:00:00 PM,28.456,,,,
225,06/16/21 01:00:00 AM,28.357,,,,
226,06/16/21 03:00:00 AM,28.258,,,,
227,06/16/21 05:00:00 AM,28.258,,,,
228,06/16/21 07:00:00 AM,28.953,,,,
229,06/16/21 09:00:00 AM,29.053,,,,
230,06/16/21 11:00:00 AM,28.555,,,,
231,06/16/21 01:00:00 PM,28.853,,,,
232,06/16/21 03:00:00 PM,28.555,,,,
233,06/16/21 05:00:00 PM,28.357,,,,
234,06/16/21 07:00:00 PM,28.258,,,,
235,06/16/21 09:00:00 PM,28.456,,,,
236,06/16/21 11:00:00 PM,28.258,,,,
237,06/17/21 01:00:00 AM,28.060,,,,
238,06/17/21 03:00:00 AM,28.159,,,,
239,06/17/21 05:00:00 AM,28.159,,,,
240,06/17/21 07:00:00 AM,28.159,,,,
241,06/17/21 09:00:00 AM,28.357,,,,
242,06/17/21 11:00:00 AM,28.456,,,,
243,06/17/21 01:00:00 PM,28.555,,,,
244,06/17/21 03:00:00 PM,28.555,,,,
245,06/17/21 05:00:00 PM,28.655,,,,
246,06/17/21 07:00:00 PM,28.655,,,,
247,06/17/21 09:00:00 PM,28.555,,,,
248,06/17/21 11:00:00 PM,28.555,,,,
249,06/18/21 01:00:00 AM,28.456,,,,
250,06/18/21 03:00:00 AM,28.456,,,,
251,06/18/21 05:00:00 AM,28.555,,,,
252,06/18/21 07:00:00 AM,28.555,,,,
253,06/18/21 09:00:00 AM,28.655,,,,
254,06/18/21 11:00:00 AM,28.853,,,,
255,06/18/21 01:00:00 PM,28.853,,,,
256,06/18/21 03:00:00 PM,28.953,,,,
257,06/18/21 05:00:00 PM,28.655,,,,
258,06/18/21 07:00:00 PM,28.655,,,,
259,06/18/21 09:00:00 PM,28.655,,,,
260,06/18/21 11:00:00 PM,28.754,,,,
261,06/19/21 01:00:00 AM,28.555,,,,
262,06/19/21 03:00:00 AM,28.456,,,,
263,06/19/21 05:00:00 AM,28.357,,,,
264,06/19/21 07:00:00 AM,28.357,,,,
265,06/19/21 09:00:00 AM,28.555,,,,
266,06/19/21 11:00:00 AM,28.953,,,,
267,06/19/21 01:00:00 PM,28.853,,,,
268,06/19/21 03:00:00 PM,28.953,,,,
269,06/19/21 05:00:00 PM,28.953,,,,
270,06/19/21 07:00:00 PM,28.754,,,,
271,06/19/21 09:00:00 PM,28.853,,,,
272,06/19/21 11:00:00 PM,28.953,,,,
273,06/20/21 01:00:00 AM,28.853,,,,
274,06/20/21 03:00:00 AM,28.456,,,,
275,06/20/21 05:00:00 AM,28.357,,,,
276,06/20/21 07:00:00 AM,28.357,,,,
277,06/20/21 09:00:00 AM,28.754,,,,
278,06/20/21 11:00:00 AM,29.152,,,,
279,06/20/21 01:00:00 PM,29.252,,,,
280,06/20/21 03:00:00 PM,29.352,,,,
281,06/20/21 05:00:00 PM,29.152,,,,
282,06/20/21 07:00:00 PM,29.053,,,,
283,06/20/21 09:00:00 PM,29.252,,,,
284,06/20/21 11:00:00 PM,29.452,,,,
285,06/21/21 01:00:00 AM,29.452,,,,
286,06/21/21 03:00:00 AM,29.452,,,,
