site,season,sample_size,mean_daily_variability,sd_variability,range
CCC,Dry,219,0.9564392694063928,0.4041731642597274,2.2445999999999984
CCC,Wet,143,0.7537307692307693,0.26629594709824916,1.3938999999999986
Nursery,Dry,221,0.859239819004525,0.39581700483472215,2.7879999999999967
Nursery,Wet,143,0.8111048951048954,0.3196390947480645,1.6089999999999982
