site,mean_daily_temp.max,mean_daily_temp.min,Temp.seasonal,maxDHW
20202021_SST_CCC,30.52,25.58,4.940000000000001,1.0433519585253452
20202021_SST_Nursery,30.54,25.81,4.73,0.14618375576036868
CURES_tilt,31.589175,23.440091666666667,8.149083333333333,0
Nursery,31.064666666666668,25.675416666666667,5.3892500000000005,0
