"Plot Title: KB Nursery.07.09.2019"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10795158, SEN S/N: 10795158)","Intensity, lum/ft² (LGR S/N: 10795158, SEN S/N: 10795158)","Coupler Attached (LGR S/N: 10795158)","Host Connected (LGR S/N: 10795158)","Stopped (LGR S/N: 10795158)","End Of File (LGR S/N: 10795158)"
1,07/09/19 08:00:00 AM,21.951,0.0,,,,
2,07/09/19 10:00:00 AM,30.862,82.0,,,,
3,07/09/19 12:00:00 PM,30.862,128.0,,,,
4,07/09/19 02:00:00 PM,30.760,98.0,,,,
5,07/09/19 04:00:00 PM,30.862,136.0,,,,
6,07/09/19 06:00:00 PM,30.659,53.0,,,,
7,07/09/19 08:00:00 PM,30.659,1.0,,,,
8,07/09/19 10:00:00 PM,30.862,0.0,,,,
9,07/10/19 12:00:00 AM,30.760,0.0,,,,
10,07/10/19 02:00:00 AM,30.659,0.0,,,,
11,07/10/19 04:00:00 AM,30.457,0.0,,,,
12,07/10/19 06:00:00 AM,30.255,0.0,,,,
13,07/10/19 08:00:00 AM,30.558,34.0,,,,
14,07/10/19 10:00:00 AM,30.862,144.0,,,,
15,07/10/19 12:00:00 PM,31.064,160.0,,,,
16,07/10/19 02:00:00 PM,30.760,184.0,,,,
17,07/10/19 04:00:00 PM,30.760,124.0,,,,
18,07/10/19 06:00:00 PM,30.659,39.0,,,,
19,07/10/19 08:00:00 PM,30.558,3.0,,,,
20,07/10/19 10:00:00 PM,30.659,0.0,,,,
21,07/11/19 12:00:00 AM,30.862,0.0,,,,
22,07/11/19 02:00:00 AM,30.356,0.0,,,,
23,07/11/19 04:00:00 AM,30.154,0.0,,,,
24,07/11/19 06:00:00 AM,30.054,0.0,,,,
25,07/11/19 08:00:00 AM,30.255,65.0,,,,
26,07/11/19 10:00:00 AM,30.457,160.0,,,,
27,07/11/19 12:00:00 PM,30.963,184.0,,,,
28,07/11/19 02:00:00 PM,31.064,184.0,,,,
29,07/11/19 04:00:00 PM,30.659,118.0,,,,
30,07/11/19 06:00:00 PM,30.356,72.0,,,,
31,07/11/19 08:00:00 PM,29.853,2.0,,,,
32,07/11/19 10:00:00 PM,29.953,0.0,,,,
33,07/12/19 12:00:00 AM,30.255,0.0,,,,
34,07/12/19 02:00:00 AM,30.659,0.0,,,,
35,07/12/19 04:00:00 AM,30.154,0.0,,,,
36,07/12/19 06:00:00 AM,30.054,0.0,,,,
37,07/12/19 08:00:00 AM,29.853,5.0,,,,
38,07/12/19 10:00:00 AM,30.054,36.0,,,,
39,07/12/19 12:00:00 PM,30.659,87.0,,,,
40,07/12/19 02:00:00 PM,30.659,176.0,,,,
41,07/12/19 04:00:00 PM,30.457,87.0,,,,
42,07/12/19 06:00:00 PM,30.154,25.0,,,,
43,07/12/19 08:00:00 PM,30.054,1.0,,,,
44,07/12/19 10:00:00 PM,29.953,0.0,,,,
45,07/13/19 12:00:00 AM,29.953,0.0,,,,
46,07/13/19 02:00:00 AM,30.054,0.0,,,,
47,07/13/19 04:00:00 AM,30.255,0.0,,,,
48,07/13/19 06:00:00 AM,29.953,0.0,,,,
49,07/13/19 08:00:00 AM,29.953,67.0,,,,
50,07/13/19 10:00:00 AM,30.054,136.0,,,,
51,07/13/19 12:00:00 PM,30.457,192.0,,,,
52,07/13/19 02:00:00 PM,30.659,224.0,,,,
53,07/13/19 04:00:00 PM,30.558,61.0,,,,
54,07/13/19 06:00:00 PM,30.356,19.0,,,,
55,07/13/19 08:00:00 PM,29.953,2.0,,,,
