chi2,Z,P,P.adjusted,comparisons
25.708,4.885,5.17E-07,3.10E-06,CCC.Dry - CCC.Wet
25.708,2.614,0.004,0.009,CCC.Dry - Nursery.Dry
25.708,-2.571,0.005,0.008,CCC.Wet - Nursery.Dry
25.708,3.176,7.46E-04,0.002,CCC.Dry - Nursery.Wet
25.708,-1.554,0.060,0.072,CCC.Wet - Nursery.Wet
25.708,0.859,0.195,0.195,Nursery.Dry - Nursery.Wet
