gene,"datExpr[1, moduleColors == which.module]"
Acropora_000023,7.9119650596330215
Acropora_000081,7.02746841509869
Acropora_000101,6.7527767682399675
Acropora_000190,6.06872428280931
Acropora_000205,8.347261182534993
Acropora_000206,6.578146067130448
Acropora_000208,9.711553405697874
Acropora_000211,6.889073626325562
Acropora_000215,6.875168775735312
Acropora_000228,6.600550098974144
Acropora_000233,8.008011885017519
Acropora_000246,7.824009280186476
Acropora_000251,6.718269447106134
Acropora_000258,6.642628329400155
Acropora_000270,8.239863736120663
Acropora_000282,7.156161090892288
Acropora_000317,6.06872428280931
Acropora_000332,6.600550098974144
Acropora_000350,6.642628329400155
Acropora_000370,6.06872428280931
Acropora_000371,7.166095024677705
Acropora_000430,6.718269447106134
Acropora_000444,9.152621160741072
Acropora_000455,6.860994552003567
Acropora_000496,7.512571500873296
Acropora_000507,6.875168775735312
Acropora_000528,7.195275055400915
Acropora_000531,6.503770889236268
Acropora_000533,7.156161090892288
Acropora_000539,6.335764003414168
Acropora_000541,7.439978615059773
Acropora_000570,6.06872428280931
Acropora_000588,6.90272267940201
Acropora_000607,7.125695651075269
Acropora_000615,8.168481540185685
Acropora_000631,7.9119650596330215
Acropora_000674,6.529944592115023
Acropora_000711,6.06872428280931
Acropora_000715,6.223046340464026
Acropora_000735,8.110106240493682
Acropora_000762,6.06872428280931
Acropora_000780,6.681686024153914
Acropora_000817,6.06872428280931
Acropora_000847,7.512571500873296
Acropora_000888,6.06872428280931
Acropora_000929,6.06872428280931
Acropora_000961,6.06872428280931
Acropora_001053,6.06872428280931
Acropora_001085,7.9119650596330215
Acropora_001117,6.992037931029528
Acropora_001127,7.277805825655534
Acropora_001178,6.06872428280931
Acropora_001181,7.979965396296363
Acropora_001183,6.992037931029528
Acropora_001210,7.746447415152574
Acropora_001230,6.846536118484794
Acropora_001260,7.711594485806869
Acropora_001331,6.735761960103669
Acropora_001344,7.038951583854869
Acropora_001370,6.06872428280931
Acropora_001396,6.06872428280931
Acropora_001496,6.06872428280931
Acropora_001517,7.4768827523475
Acropora_001529,7.312365827623065
Acropora_001638,8.053412175876456
Acropora_001666,6.554665750878717
Acropora_001703,7.232829461685154
Acropora_001748,6.846536118484794
Acropora_001754,8.469511284231297
Acropora_001770,6.06872428280931
Acropora_001788,7.232829461685154
Acropora_001829,7.004017824214524
Acropora_001848,6.662496331467251
Acropora_001850,6.875168775735312
Acropora_001855,6.475864360144981
Acropora_001862,7.693772940399377
Acropora_001874,6.70025939099947
Acropora_001891,7.004017824214524
Acropora_001898,6.335764003414168
Acropora_001908,6.967534569512278
Acropora_001931,9.923915309775127
Acropora_001940,7.663451797193389
Acropora_001941,6.503770889236268
Acropora_001948,6.445840252729181
Acropora_002040,7.004017824214524
Acropora_002059,8.06230019423588
Acropora_002060,8.399566868421656
Acropora_002064,7.675675307131867
Acropora_002073,8.504743095873332
Acropora_002083,6.06872428280931
Acropora_002100,7.965703231669794
Acropora_002151,6.06872428280931
Acropora_002181,9.356469130004548
Acropora_002193,6.600550098974144
Acropora_002203,6.413144937743301
Acropora_002219,7.7691257168084675
Acropora_002245,8.274141953290535
Acropora_002269,6.942254809709575
Acropora_002283,6.475864360144981
Acropora_002296,8.962401037226016
Acropora_002313,6.286864832792452
