gene,"datExpr[1, moduleColors == which.module]"
Acropora_000001,7.424853330836403
Acropora_000002,7.214237220083467
Acropora_000012,7.0941638599624826
Acropora_000013,8.45974011798881
Acropora_000019,7.901938955769543
Acropora_000024,6.662496331467251
Acropora_000028,7.484114583135872
Acropora_000029,7.439978615059773
Acropora_000033,8.712443690960205
Acropora_000037,6.06872428280931
Acropora_000039,9.466626672150438
Acropora_000040,6.846536118484794
Acropora_000047,6.06872428280931
Acropora_000048,8.277895918901145
Acropora_000049,7.946429928039683
Acropora_000051,6.06872428280931
Acropora_000052,6.578146067130448
Acropora_000056,6.622008780494841
Acropora_000060,6.889073626325562
Acropora_000062,6.286864832792452
Acropora_000064,6.06872428280931
Acropora_000067,7.469602349255308
Acropora_000072,8.707006020679067
Acropora_000076,6.889073626325562
Acropora_000084,6.7527767682399675
Acropora_000086,9.570305092501174
Acropora_000087,7.251069703191703
Acropora_000092,7.896895151677735
Acropora_000096,7.454892592381486
Acropora_000104,6.06872428280931
Acropora_000114,7.8918305907934085
Acropora_000117,6.335764003414168
Acropora_000119,7.115308324927668
Acropora_000122,6.860994552003567
Acropora_000123,9.514833388136145
Acropora_000125,6.979879294002503
Acropora_000138,7.409509231563951
Acropora_000139,7.752157673754483
Acropora_000140,7.855780688373489
Acropora_000148,7.560668458782531
Acropora_000152,8.1967088366878
Acropora_000153,6.916128395207512
Acropora_000154,10.03107694087218
Acropora_000155,8.243717043060478
Acropora_000158,6.642628329400155
Acropora_000159,6.06872428280931
Acropora_000160,10.848484553968655
Acropora_000161,9.696832914841167
Acropora_000165,6.846536118484794
Acropora_000173,6.06872428280931
Acropora_000178,6.223046340464026
Acropora_000182,7.424853330836403
Acropora_000183,6.554665750878717
Acropora_000185,6.06872428280931
Acropora_000196,7.072499768163494
Acropora_000199,6.06872428280931
Acropora_000204,6.06872428280931
Acropora_000207,7.632314987912171
Acropora_000217,6.286864832792452
Acropora_000219,6.06872428280931
Acropora_000221,7.424853330836403
Acropora_000225,6.860994552003567
Acropora_000226,7.277805825655534
Acropora_000231,6.06872428280931
Acropora_000236,7.657291329450808
Acropora_000237,6.718269447106134
Acropora_000239,6.816699912904361
Acropora_000245,12.598895396961101
Acropora_000249,7.104799002579382
Acropora_000250,6.413144937743301
Acropora_000253,7.370138151723787
Acropora_000254,6.06872428280931
Acropora_000257,6.06872428280931
Acropora_000259,6.681686024153914
Acropora_000261,10.378174820868603
Acropora_000263,7.512571500873296
Acropora_000283,6.642628329400155
Acropora_000285,7.4768827523475
Acropora_000286,6.70025939099947
Acropora_000287,6.06872428280931
Acropora_000289,6.06872428280931
Acropora_000298,6.578146067130448
Acropora_000305,6.718269447106134
Acropora_000306,6.413144937743301
Acropora_000308,8.488842931159652
Acropora_000323,6.942254809709575
Acropora_000333,7.195275055400915
Acropora_000335,10.02894658168378
Acropora_000337,7.7634965257619735
Acropora_000338,6.06872428280931
Acropora_000342,6.376929150798669
Acropora_000349,6.06872428280931
Acropora_000353,8.156193169538476
Acropora_000354,6.578146067130448
Acropora_000355,9.089979791601737
Acropora_000357,6.70025939099947
Acropora_000359,9.257313362177038
Acropora_000360,6.06872428280931
Acropora_000363,7.926853252593246
