"","ID_1087","ID_1089","ID_1090","ID_1091","ID_1092","ID_1097","ID_1098","ID_1099","ID_2263","ID_2265","ID_2266","ID_2267","ID_2268","ID_2382","ID_2383","ID_2384"
"MSTRG.11192",2,2836,2778,1547,1178,27,38,435,3090,1213,2721,3382,2425,918,4,793
"MSTRG.16081",6,832,431,374,568,33,1,94,345,913,631,792,618,304,3,84
"MSTRG.25399",0,1314,1478,917,822,27,70,337,917,746,796,584,662,450,0,353
"MSTRG.25391",0,909,533,868,494,81,33,161,756,874,598,923,947,281,17,81
"MSTRG.17689",1,62,253,198,133,43,7,21,127,148,181,250,89,73,0,27
"MSTRG.16550",0,509,232,148,149,65,43,93,163,409,236,364,213,254,0,187
"MSTRG.11688",2,398,800,993,801,83,51,365,490,380,1225,526,217,135,0,342
"MSTRG.11682",0,1626,5149,5882,3290,1182,506,2882,620,995,4334,1986,769,103,0,881
"MSTRG.11683",1,4910,10300,5147,2369,463,716,487,9396,9572,10575,6499,4694,3102,4,419
"MSTRG.11023",0,119,257,494,90,135,236,389,45,199,103,29,9,77,17,91
"MSTRG.24421",3,677,499,535,266,16,2,278,207,417,467,364,663,135,12,277
"MSTRG.21435",1,715,567,183,251,51,0,114,620,352,849,490,605,270,32,112
"MSTRG.31499",20,14160,7209,5707,3512,326,98,3684,9593,9339,15035,29583,21510,4344,78,12425
"MSTRG.13461",4,1497,2748,1187,891,193,82,242,1323,972,7043,5762,3634,637,0,1406
"MSTRG.39244",1,1238,580,245,296,181,43,225,494,464,491,920,345,210,2,521
"MSTRG.38190",41,2620,1435,1070,1006,850,521,699,1650,462,1237,932,1087,630,0,248
"MSTRG.13799",4,639,366,343,499,22,0,48,752,1430,1394,1634,1538,444,15,102
"MSTRG.43531",142,800,761,427,100,217,154,380,497,461,1187,706,852,300,67,692
"MSTRG.1803",0,974,482,246,248,11,13,33,556,460,187,327,399,235,0,93
"MSTRG.39348",78,1927,1348,846,1023,362,53,425,930,688,1566,2309,1188,448,0,764
"MSTRG.45263",7,97,711,789,637,321,131,666,301,94,1181,321,230,27,0,322
"MSTRG.7893",3,1131,1068,455,535,16,170,220,385,1320,1054,1506,1321,428,2,348
"MSTRG.40371",4,701,858,862,729,57,19,298,717,545,951,970,1008,511,7,263
"MSTRG.42280",1,933,683,489,523,20,74,314,827,638,405,959,1335,343,0,522
"MSTRG.42288",0,1510,2953,1866,1702,476,331,650,949,1307,1172,861,681,421,0,516
"MSTRG.20130",0,671,1472,1227,356,1322,55,946,111,269,110,339,60,18,0,67
"MSTRG.726",14,529,349,510,167,433,30,336,423,503,217,632,245,155,0,241
"MSTRG.8542",19,2356,1610,1195,865,715,211,1968,553,406,503,804,1126,249,0,180
"MSTRG.9498",6,6161,2941,1280,1695,128,13,858,1958,2111,2829,4193,4098,1184,35,1011
"MSTRG.31766",10,74,108,21,61,125,61,104,52,351,48,96,282,39,117,42
"MSTRG.31768",7,4528,2352,1841,973,15,5,267,1825,1823,2253,3030,3327,1051,0,827
"MSTRG.39900",7,479,182,189,295,8,0,22,387,457,512,387,333,91,0,131
"MSTRG.39903",9,1456,595,867,517,2,69,52,742,396,763,909,1121,498,0,133
"MSTRG.21667",0,1013,1320,1098,463,204,1046,352,387,882,774,514,494,162,0,212
"MSTRG.5790",49,16722,4981,4946,4061,1052,127,3262,5034,9241,5307,8545,6787,3442,56,1735
"MSTRG.5792",4,542,818,394,524,44,61,182,507,527,1561,1561,1097,129,0,1069
"MSTRG.34307",1,2151,2051,3219,759,29,7,61,136,271,627,260,197,106,0,52
"MSTRG.34308",5,423,873,199,316,1864,271,119,45,17,412,78,19,48,0,793
