	1087_trimmed	1088_trimmed	1089_trimmed	1090_trimmed	1091_trimmed	1092_trimmed	1096_trimmed	1097_trimmed	1098_trimmed	1099_trimmed	1100_trimmed	2263_trimmed	2264_trimmed	2265_trimmed	2266_trimmed	2267_trimmed	2268_trimmed	2382_trimmed	2383_trimmed	2384_trimmed	
Acropora_003036	0	0	8	17	64	4	55	0	0	0	0	0	0	16	5	0	0	0	0	0	
Acropora_003037	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	
Acropora_003038	1	0	672	353	253	218	239	1	0	57	0	533	0	341	513	750	765	197	1	79	
Acropora_003039	0	0	3	37	14	34	0	0	0	53	0	24	0	0	36	1	1	11	0	0	
Acropora_003040	0	0	146	101	74	167	81	0	0	0	0	77	0	142	24	90	139	106	0	18	
Acropora_003041	0	0	25	4	33	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003042	0	0	954	1123	1125	1118	587	9	102	346	0	640	0	540	1726	1105	841	277	0	419	
Acropora_003043	0	0	39	258	588	443	113	156	196	624	0	20	0	74	553	235	31	9	0	610	
Acropora_003044	2	0	18	42	54	26	23	0	0	20	0	50	0	64	45	59	46	14	0	1	
Acropora_003045	0	0	122	153	226	95	141	16	0	65	0	135	0	77	198	214	238	72	0	34	
Acropora_003046	0	0	104	96	115	54	189	0	1	16	0	126	0	28	69	9	43	10	0	18	
Acropora_003047	1	0	263	364	164	265	123	6	1	87	0	103	0	94	181	284	247	96	1	40	
Acropora_003051	0	0	4	0	0	0	0	0	0	0	0	0	0	0	65	0	24	0	0	0	
Acropora_003052	0	0	354	524	702	200	182	0	0	73	0	271	0	277	481	146	117	79	0	65	
Acropora_003053	12	0	78	109	222	202	178	0	0	103	0	54	0	51	315	3	68	11	0	180	
Acropora_003054	0	0	33	329	231	367	127	2	0	218	0	98	0	170	265	143	45	8	0	207	
Acropora_003055	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	27	16	0	0	0	
Acropora_003056	0	0	49	66	207	278	118	2	0	53	0	57	0	19	153	138	62	8	0	117	
Acropora_003057	0	0	65	50	69	89	38	11	70	63	0	49	0	6	32	85	126	43	3	24	
Acropora_003058	27	3	1840	2019	1680	1272	1472	178	26	746	0	2260	0	1771	2905	3426	2724	1402	62	1034	
Acropora_003059	0	0	0	79	158	108	18	0	5	37	0	0	0	0	56	36	15	0	0	55	
Acropora_003060	0	0	7	121	91	62	0	0	0	22	0	0	0	13	91	14	7	6	0	0	
Acropora_003061	0	0	145	225	418	292	108	10	1	205	0	149	0	81	172	214	86	41	0	149	
Acropora_003062	0	0	10	0	202	150	28	0	0	136	0	1	0	28	0	0	0	1	0	9	
Acropora_003064	0	0	28	709	41	36	18	0	0	11	0	73	0	115	563	526	616	0	0	0	
Acropora_003065	0	0	0	5	43	20	0	0	0	0	0	0	0	36	0	24	0	0	0	12	
Acropora_003066	0	0	378	279	906	931	467	85	22	598	0	351	0	307	900	400	104	69	0	185	
Acropora_003067	0	0	18	5	48	46	12	0	0	0	0	26	0	0	12	0	0	0	0	0	
Acropora_003068	0	0	121	135	106	62	70	7	0	37	0	63	0	12	105	72	134	17	0	0	
Acropora_003069	0	0	0	21	9	11	0	0	0	0	0	0	0	0	0	0	2	0	0	35	
Acropora_003070	0	0	127	127	122	82	157	2	4	91	0	73	0	164	14	106	108	63	0	15	
Acropora_003071	0	0	34	18	3	34	36	0	0	0	0	35	0	0	20	53	116	32	0	0	
Acropora_003072	1	3	367	561	563	542	502	46	118	157	0	260	0	496	562	307	133	52	0	192	
Acropora_003073	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003074	0	0	16	94	262	180	33	11	179	266	0	0	0	0	286	138	14	5	0	171	
Acropora_003075	0	0	19	29	0	48	4	0	2	22	0	2	0	0	0	30	14	0	0	0	
Acropora_003076	0	0	38	163	290	169	48	0	0	77	0	1	0	59	116	97	97	1	0	115	
Acropora_003077	0	0	902	690	751	379	458	96	0	142	0	496	0	823	1517	1401	906	378	0	286	
Acropora_003078	0	0	688	626	409	373	414	73	44	240	0	549	0	738	617	704	770	356	0	202	
Acropora_003079	0	0	24	23	24	53	3	0	0	0	0	24	0	0	67	4	1	25	0	30	
Acropora_003080	0	0	133	210	83	74	129	0	35	67	0	119	0	76	411	261	256	69	0	7	
Acropora_003081	0	0	0	17	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
Acropora_003082	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003083	0	0	505	361	313	285	344	21	6	279	0	238	0	237	503	249	312	163	0	161	
Acropora_003084	1	0	35	93	240	83	19	0	0	52	0	28	0	70	68	34	40	1	0	127	
Acropora_003085	0	0	322	53	79	68	87	0	0	44	0	76	0	51	121	462	268	33	0	9	
Acropora_003086	0	0	10	0	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	
Acropora_003087	17	0	25	56	154	147	35	0	99	28	0	41	0	29	52	77	0	6	0	0	
Acropora_003088	0	0	470	384	513	317	370	104	13	78	0	263	0	223	352	432	334	166	1	309	
Acropora_003089	0	0	38	80	212	53	13	98	0	60	0	7	0	58	148	115	40	0	0	89	
Acropora_003091	0	0	11	20	72	24	53	50	21	29	0	9	0	24	24	43	40	0	0	2	
Acropora_003092	14	0	1384	1161	665	904	944	32	22	445	0	1059	0	1395	1138	1332	1603	1011	53	396	
Acropora_003093	0	0	0	45	46	39	25	0	63	30	0	19	0	0	8	34	0	6	0	0	
Acropora_003094	0	0	0	9	0	6	0	0	0	0	0	0	0	0	0	50	0	0	0	0	
Acropora_003095	0	0	0	0	0	18	0	0	0	0	0	0	0	0	74	0	0	0	0	40	
Acropora_003096	0	0	376	414	315	327	224	5	2	282	0	515	0	639	362	717	524	280	4	316	
Acropora_003097	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003098	0	0	159	211	102	99	247	3	0	97	0	177	0	176	454	337	231	89	0	93	
Acropora_003099	0	0	1708	1637	1256	768	655	114	14	385	0	1205	0	749	1410	1751	1298	657	0	442	
Acropora_003100	0	0	190	318	364	181	280	0	0	32	0	76	0	118	168	218	38	76	0	52	
Acropora_003101	0	0	0	11	42	19	0	0	0	47	0	1	0	0	51	35	0	0	0	4	
Acropora_003102	0	0	231	265	295	201	164	123	66	308	0	214	0	61	367	149	194	121	0	162	
Acropora_003105	0	0	43	7	16	27	21	0	0	0	0	56	0	21	1	110	11	17	0	0	
Acropora_003106	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	
Acropora_003107	0	0	8	8	9	19	0	0	0	25	0	20	0	0	1	14	10	13	6	96	
Acropora_003108	0	0	374	138	270	212	512	0	0	75	0	196	0	134	65	106	195	55	0	18	
Acropora_003109	0	0	12	19	0	9	0	0	0	72	0	31	0	0	0	0	0	0	0	0	
Acropora_003110	0	0	9	123	53	31	4	0	7	83	0	9	0	0	71	9	0	0	0	18	
Acropora_003111	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	4	
Acropora_003112	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003113	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003166	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003168	0	0	0	0	27	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	
Acropora_003170	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003171	0	0	0	8	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	
Acropora_003172	0	0	0	0	0	22	11	0	0	0	0	0	0	0	10	0	41	0	0	0	
Acropora_003174	0	0	10	65	40	51	23	0	0	40	0	15	0	0	71	1	0	0	0	26	
Acropora_003175	0	0	1	16	43	0	0	0	160	17	0	0	0	0	0	0	0	0	0	10	
Acropora_003176	0	0	5	0	19	0	0	0	0	0	0	10	0	0	23	7	54	8	0	0	
Acropora_003180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Acropora_003183	0	0	0	0	10	13	0	0	0	0	0	0	0	38	0	0	0	0	0	0	
Acropora_003184	0	0	1334	1196	638	811	1034	84	1	468	0	832	0	938	1165	835	892	406	1	390	
Acropora_003185	0	0	206	152	104	67	103	0	0	1	0	128	0	180	222	49	152	73	0	63	
Acropora_003186	0	0	0	31	6	0	0	0	0	0	0	14	0	0	0	0	0	0	0	36	
Acropora_003187	0	0	0	24	51	21	0	0	0	0	0	12	0	0	37	0	0	0	0	0	
Acropora_003188	0	0	90	50	241	179	154	0	0	113	0	67	0	342	206	118	93	55	0	29	
Acropora_003189	0	0	0	0	113	89	0	0	0	0	0	25	0	49	2	19	0	2	0	22	
Acropora_003191	0	0	0	20	0	0	0	0	0	18	0	0	0	0	0	0	0	3	0	0	
Acropora_003197	0	0	425	613	746	509	482	34	10	320	0	557	0	379	713	384	393	260	0	222	
Acropora_003202	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003203	0	0	359	162	175	215	219	3	0	31	0	367	0	553	472	467	304	159	0	22	
Acropora_003204	0	0	0	14	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003205	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	4	0	0	
Acropora_003211	0	0	369	1125	695	402	417	450	208	260	0	421	0	138	1057	575	675	111	9	341	
Acropora_003213	0	0	0	41	38	11	1	0	0	74	0	0	0	0	1	0	0	0	0	36	
Acropora_003214	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003215	1	0	208	2189	1610	845	388	262	259	610	0	291	0	432	640	521	340	53	1	260	
Acropora_003216	0	0	48	164	98	72	22	188	0	32	0	45	0	33	19	7	3	14	0	35	
Acropora_003217	0	1	169	297	635	339	301	7	37	223	0	336	0	174	254	127	47	27	0	113	
Acropora_003218	0	0	1173	1690	1760	2035	919	1	29	334	0	1282	0	1416	936	1267	1527	583	0	243	
Acropora_003219	0	0	0	18	18	39	5	0	73	0	0	36	0	27	99	59	20	0	0	22	
Acropora_003220	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	12	0	0	0	0	
Acropora_003221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	4	0	0	0	
Acropora_003222	0	0	14	54	49	40	41	13	0	1	0	12	0	0	138	19	10	0	0	15	
Acropora_003223	106	22	668	1186	930	774	701	89	16	166	0	741	0	1195	1054	1071	824	306	71	359	
Acropora_003224	0	0	163	121	91	149	54	0	0	24	0	196	0	205	95	160	195	159	348	68	
Acropora_003225	4	1	528	548	715	427	643	57	71	266	0	606	0	226	589	408	614	219	115	141	
Acropora_003226	0	0	29	376	124	174	111	5	57	77	0	146	0	27	354	99	49	17	0	71	
Acropora_003227	3	0	20	109	10	32	6	27	0	0	0	21	0	22	24	75	86	25	0	8	
Acropora_003228	0	0	178	370	458	187	113	68	22	98	0	103	0	218	355	446	121	50	0	218	
Acropora_003229	0	0	1231	685	414	449	163	7	0	69	0	486	0	557	564	1083	1130	837	0	377	
Acropora_003231	0	0	164	163	164	158	97	0	27	13	0	243	0	423	140	491	282	137	0	86	
Acropora_003233	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003234	0	0	693	453	310	313	233	24	4	88	0	408	0	518	322	613	596	281	2	107	
Acropora_003235	0	0	409	413	548	393	151	240	71	941	0	347	0	600	870	1377	695	293	0	1943	
Acropora_003236	3	0	838	768	482	504	686	11	12	207	0	313	0	293	768	701	368	156	2	120	
Acropora_003237	0	0	8	0	0	0	2	0	0	0	0	20	0	0	0	1	2	1	0	0	
Acropora_003238	0	0	14	238	351	264	42	31	19	180	0	38	0	51	222	27	121	12	0	150	
Acropora_003239	0	0	291	301	314	180	157	8	37	68	0	179	0	277	521	392	184	78	0	91	
Acropora_003240	0	0	279	222	220	112	136	0	8	11	0	296	0	256	194	237	464	161	0	12	
Acropora_003241	0	0	250	378	259	379	277	0	0	2	0	377	0	489	380	548	608	278	0	20	
Acropora_003242	0	0	338	397	383	402	171	25	2	35	0	818	0	464	821	1061	816	224	0	281	
Acropora_003243	0	0	771	419	209	364	199	19	0	0	0	698	0	559	390	449	660	363	0	1	
Acropora_003245	0	0	83	47	35	62	44	0	0	1	0	69	0	111	8	41	1	54	0	39	
Acropora_003246	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003247	0	0	43	191	153	340	59	21	24	151	0	44	0	144	202	142	1	0	0	183	
Acropora_003248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	
Acropora_003249	0	0	0	0	0	19	0	0	0	0	0	0	0	0	56	0	0	0	0	0	
Acropora_003250	0	0	0	0	0	5	0	0	0	0	0	0	0	0	27	22	0	0	0	0	
Acropora_003251	1	0	171	188	151	177	211	0	25	94	0	296	0	195	289	368	521	106	0	55	
Acropora_003252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	21	0	0	0	0	
Acropora_003253	0	0	30	38	15	0	0	0	0	0	0	13	0	41	0	0	29	10	0	28	
Acropora_003254	0	0	0	0	2	14	14	0	0	0	0	1	0	0	0	0	0	0	0	0	
Acropora_003255	0	0	0	0	0	34	0	0	0	20	0	0	0	0	0	0	0	0	0	0	
Acropora_003257	0	0	71	14	1	4	0	0	0	0	0	1	0	0	28	6	0	0	0	0	
Acropora_003258	0	0	2	5	32	133	8	0	0	28	0	15	0	0	50	9	0	3	0	42	
Acropora_003260	11	0	421	103	167	97	227	16	1	61	0	44	0	129	420	229	132	103	1	96	
Acropora_003261	0	0	1181	388	340	556	559	1	0	134	0	245	0	299	702	446	506	216	0	105	
Acropora_003262	0	0	317	214	293	195	224	0	0	52	0	249	0	79	500	270	307	179	0	96	
Acropora_003263	0	0	50	184	120	129	32	61	56	47	0	0	0	29	108	10	0	2	0	21	
Acropora_003264	0	0	681	204	357	520	275	20	40	71	0	766	0	619	368	883	870	320	0	124	
Acropora_003265	0	0	20	65	223	174	12	93	5	0	0	37	0	109	139	75	63	5	0	103	
Acropora_003266	0	0	27	37	3	39	28	0	0	0	0	33	0	0	75	45	6	11	0	23	
Acropora_003267	0	0	11	114	39	71	39	0	0	40	0	13	0	30	89	29	19	7	0	30	
Acropora_003268	0	0	116	82	105	115	112	6	26	66	0	66	0	258	238	163	134	68	0	59	
Acropora_003269	0	0	12	57	30	21	25	0	15	15	0	1	0	0	1	61	0	0	0	0	
Acropora_003270	0	0	0	21	0	18	27	0	0	26	0	0	0	32	0	16	1	0	0	0	
Acropora_003271	0	0	11	110	48	76	4	10	0	87	0	43	0	34	211	47	1	11	0	18	
Acropora_003272	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	
Acropora_003274	0	0	9	17	0	37	18	0	0	0	0	73	0	42	63	62	10	4	0	0	
Acropora_003275	46	21	599	276	599	284	268	15	2	87	0	159	0	219	304	339	697	112	104	130	
Acropora_003276	0	0	600	398	269	306	446	0	0	19	0	337	0	471	382	484	477	249	0	124	
Acropora_003277	0	0	20	30	35	3	14	0	0	28	0	0	0	0	42	0	36	0	0	0	
Acropora_003278	162	25	2323	3049	2380	1635	2006	716	311	1448	0	1548	0	1141	2737	1455	1668	464	106	1067	
Acropora_003279	0	0	528	311	253	292	252	0	0	55	0	242	0	202	609	438	551	214	0	129	
Acropora_003280	0	0	177	243	142	58	213	7	0	11	0	144	0	184	145	335	246	91	0	44	
Acropora_003281	0	0	362	261	120	205	146	5	0	85	0	343	0	170	176	500	424	180	0	85	
Acropora_003282	0	0	211	162	140	149	192	0	0	81	0	151	0	99	302	438	436	147	7	167	
Acropora_003283	0	0	88	79	80	90	110	0	78	16	0	157	0	90	125	235	214	95	0	137	
Acropora_003284	0	0	5	18	83	60	34	0	0	0	0	0	0	0	32	86	48	0	0	3	
Acropora_003285	0	0	0	31	11	20	3	0	0	27	0	0	0	10	35	13	23	0	0	34	
Acropora_003287	0	0	0	36	60	15	12	0	12	0	0	2	0	0	0	26	5	0	0	0	
Acropora_003288	5	0	878	700	408	333	254	190	0	186	0	487	0	448	520	798	1004	451	2	254	
Acropora_003289	0	0	0	29	26	10	10	0	0	43	0	26	0	0	142	11	1	0	0	62	
Acropora_003290	0	0	19	0	12	30	17	0	0	0	0	0	0	0	42	43	0	0	0	0	
Acropora_003291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
Acropora_003293	0	0	48	71	14	4	2	0	0	0	0	1	0	30	35	25	18	14	0	18	
Acropora_003295	0	0	93	64	56	44	11	1	0	17	0	38	0	63	6	13	48	15	0	9	
Acropora_003296	1	0	10	135	11	74	46	0	0	17	0	22	0	136	95	31	60	47	0	46	
Acropora_003297	0	0	303	211	283	180	155	1	0	96	0	194	0	217	299	176	316	167	0	111	
Acropora_003298	0	0	4	175	242	180	0	86	62	163	0	7	0	44	159	45	10	0	0	147	
Acropora_003299	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003300	0	0	22	4	46	0	0	0	0	2	0	71	0	45	13	5	8	7	0	1	
Acropora_003301	0	0	18	0	19	6	9	0	0	0	0	0	0	4	0	17	0	0	0	0	
Acropora_003302	0	0	0	0	9	7	24	0	0	39	0	6	0	0	0	18	0	0	0	0	
Acropora_003303	0	0	167	142	133	121	159	1	0	7	0	112	0	102	49	68	53	28	0	11	
Acropora_003304	0	0	17	0	0	26	0	0	0	0	0	0	0	0	68	25	7	0	0	16	
Acropora_003305	3	0	160	464	337	181	126	24	178	177	0	183	0	224	267	431	253	79	0	390	
Acropora_003306	0	0	63	174	83	76	24	0	0	79	0	97	0	147	234	314	340	34	0	264	
Acropora_003307	15	0	861	540	406	569	179	14	160	304	0	552	0	597	466	753	663	288	2	503	
Acropora_003308	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	6	0	0	0	
Acropora_003309	0	0	99	24	55	35	33	7	3	140	0	81	0	38	5	23	93	20	0	57	
Acropora_003310	0	0	265	145	97	62	108	1	0	67	0	84	0	40	67	93	148	79	0	28	
Acropora_003311	4	2	1548	977	503	501	676	2	10	101	0	848	0	1164	672	730	1167	592	1	128	
Acropora_003312	0	0	1	16	30	31	0	0	0	49	0	14	0	38	80	21	0	20	0	30	
Acropora_003313	0	0	0	0	10	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Acropora_003314	0	0	170	465	465	312	268	6	0	80	0	205	0	113	469	78	153	39	0	25	
Acropora_003315	0	0	38	57	15	42	32	0	0	0	0	27	0	107	98	6	0	8	0	2	
Acropora_003316	0	0	947	545	470	322	204	27	206	231	0	604	0	763	596	1164	1359	474	0	140	
Acropora_003317	0	0	0	17	87	50	8	0	0	0	0	0	0	0	65	15	35	6	0	50	
Acropora_003318	5	0	588	448	453	270	344	201	204	281	0	238	0	251	383	570	371	172	0	79	
Acropora_003319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	
Acropora_003320	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003321	0	0	1167	149	156	162	364	5	11	296	0	480	0	940	626	994	742	379	0	208	
Acropora_003322	0	0	229	320	196	139	96	0	269	268	0	139	0	287	214	203	149	80	0	129	
Acropora_003323	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003324	6	0	445	6610	347	1069	381	10	2	456	0	448	0	541	1761	1504	2176	674	0	481	
Acropora_003325	0	0	1	0	1	0	0	0	0	0	0	0	0	7	10	22	0	0	0	0	
Acropora_003326	0	0	98	78	44	1	56	0	0	35	0	76	0	77	217	98	55	49	0	46	
Acropora_003327	0	0	0	12	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003328	0	0	20	0	0	0	0	0	0	0	0	14	0	0	0	34	32	0	0	0	
Acropora_003329	0	0	13	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	
Acropora_003330	0	0	730	269	155	181	473	1	0	353	0	680	0	1283	479	839	565	453	0	169	
Acropora_003331	0	0	65	21	2	8	22	2	20	51	0	15	0	53	26	124	183	17	0	56	
Acropora_003332	0	0	25	26	18	0	0	0	0	16	0	42	0	68	14	45	46	14	0	22	
Acropora_003333	0	0	0	5	58	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
Acropora_003335	0	0	18	303	316	328	60	0	71	59	0	76	0	143	288	167	50	10	0	109	
Acropora_003337	0	0	524	355	219	458	296	63	1	153	0	458	0	347	373	603	672	259	0	348	
Acropora_003338	1	0	622	485	385	178	284	25	2	270	0	467	0	275	511	669	505	212	11	341	
Acropora_003339	0	0	65	101	137	214	147	86	0	60	0	96	0	83	232	147	51	32	0	60	
Acropora_003340	18	0	1174	2268	518	513	1135	87	0	411	0	593	0	794	806	1066	1296	331	67	586	
Acropora_003341	0	0	11	0	0	57	0	0	0	0	0	16	0	0	4	39	1	1	0	0	
Acropora_003342	0	0	425	486	104	272	169	32	25	15	0	229	0	105	150	216	92	180	2	77	
Acropora_003344	0	0	107	87	64	82	54	2	0	48	0	204	0	95	86	86	130	67	0	36	
Acropora_003346	0	0	60	392	478	277	114	81	94	192	0	170	0	28	585	189	60	20	12	291	
Acropora_003347	0	0	64	140	102	45	28	0	69	0	0	26	0	1	38	1	2	2	0	96	
Acropora_003348	0	0	625	553	632	416	638	53	19	593	0	633	0	283	888	716	723	270	0	431	
Acropora_003349	0	0	11	55	45	0	18	0	0	0	0	0	0	0	63	47	0	15	0	8	
Acropora_003350	0	0	0	20	28	37	0	0	14	38	0	0	0	0	0	19	0	0	0	0	
Acropora_003351	0	0	11	62	121	97	6	0	0	87	0	2	0	0	74	76	0	5	34	18	
Acropora_003353	0	0	15	102	89	109	9	28	41	76	0	5	0	15	76	23	2	0	0	9	
Acropora_003354	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003355	0	0	50	58	99	50	109	0	0	17	0	62	0	181	71	0	8	64	0	0	
Acropora_003356	0	0	0	21	45	47	0	0	0	0	0	25	0	1	46	44	0	0	0	0	
Acropora_003357	0	0	17	40	97	50	36	0	0	27	0	38	0	21	74	10	4	11	0	1	
Acropora_003358	0	0	318	208	178	245	441	15	4	96	0	484	0	181	303	201	296	263	0	168	
Acropora_003359	0	0	448	145	197	272	990	0	0	0	0	272	0	306	226	83	87	86	0	0	
Acropora_003360	0	0	36	90	124	75	209	0	0	0	0	44	0	67	194	65	27	50	0	4	
Acropora_003361	0	0	274	252	142	64	146	0	0	96	0	90	0	87	63	132	245	125	0	48	
Acropora_003362	0	0	286	238	260	166	95	0	0	3	0	494	0	256	362	363	362	215	7	40	
Acropora_003363	1	0	513	661	521	612	253	280	24	502	0	434	0	182	274	376	390	277	0	333	
Acropora_003364	12	0	2125	1207	1072	938	952	86	283	748	0	1019	0	1131	1442	1376	1401	627	3	782	
Acropora_003365	2	0	106	86	65	27	62	0	4	76	0	75	0	71	46	0	17	8	0	11	
Acropora_003367	4	0	792	467	346	274	341	14	5	66	0	487	0	354	546	610	720	315	13	121	
Acropora_003368	0	0	45	36	37	40	30	0	0	48	0	49	0	1	0	0	93	35	0	0	
Acropora_003369	1	0	157	70	75	127	60	0	0	37	0	76	0	190	94	322	144	54	0	0	
Acropora_003370	3	1	2900	382	1336	1109	1713	95	53	288	0	1214	0	1357	528	962	897	752	0	534	
Acropora_003372	4	0	1592	2293	1249	1459	826	220	59	647	0	2598	0	1911	5085	3854	3250	1005	5	809	
Acropora_003373	0	0	0	1	2	7	1	57	0	0	0	0	0	0	16	24	0	0	0	0	
Acropora_003374	0	0	1	66	31	28	11	0	0	0	0	21	0	44	69	13	69	26	0	25	
Acropora_003375	0	0	0	14	14	33	0	0	0	16	0	0	0	0	52	23	0	11	0	22	
Acropora_003376	0	0	14	8	29	39	20	0	0	0	0	27	0	2	0	8	80	27	0	40	
Acropora_003377	0	0	0	1	0	10	1	0	0	45	0	4	0	0	35	0	0	0	0	0	
Acropora_003378	0	0	232	228	129	124	178	0	0	47	0	174	0	83	225	263	339	110	0	40	
Acropora_003379	0	0	18	13	28	50	12	0	45	33	0	5	0	72	54	12	9	10	0	0	
Acropora_003380	0	0	57	160	111	247	211	46	0	72	0	82	0	0	213	92	26	52	0	209	
Acropora_003381	0	0	21	22	0	13	0	0	0	0	0	0	0	0	16	0	0	0	0	0	
Acropora_003382	0	0	31	42	10	25	8	0	0	0	0	0	0	84	10	0	6	24	0	19	
Acropora_003383	0	0	29	0	0	2	7	0	0	0	0	0	0	0	24	0	0	0	0	0	
Acropora_003384	0	0	3	1	10	15	0	7	0	0	0	7	0	0	37	0	8	0	0	0	
Acropora_003385	0	0	9	142	45	10	0	0	0	25	0	0	0	0	56	0	4	0	0	0	
Acropora_003386	0	0	141	187	95	136	242	0	92	246	0	132	0	131	69	222	219	72	15	113	
Acropora_003387	1	0	186	57	51	126	111	0	0	58	0	211	0	188	69	265	200	87	0	113	
Acropora_003388	0	0	2	0	0	0	7	13	0	0	0	0	0	39	0	0	0	2	0	0	
Acropora_003389	0	0	2	6	121	0	0	0	0	0	0	0	0	0	17	0	0	12	0	15	
Acropora_003392	0	0	19	48	87	25	24	0	6	0	0	0	0	57	0	9	75	12	0	13	
Acropora_003394	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003399	123	26	4590	2249	2126	2062	2029	848	319	2150	0	4651	0	3400	4978	5921	3857	2549	105	4027	
Acropora_003400	0	0	6	60	47	71	26	0	11	18	0	11	0	84	47	63	29	4	0	52	
Acropora_003401	0	0	0	35	5	9	0	84	0	16	0	0	0	37	0	44	18	0	0	47	
Acropora_003402	0	0	30	17	0	24	41	0	0	6	0	10	0	16	47	49	4	8	0	3	
Acropora_003403	0	0	28	105	55	64	17	0	38	20	0	16	0	4	76	76	54	23	0	0	
Acropora_003404	0	0	1201	2404	1851	1044	1159	77	15	531	0	1198	0	1083	1831	1818	1639	552	0	379	
Acropora_003405	0	0	86	88	60	92	57	0	0	38	0	35	0	39	63	46	47	12	0	14	
Acropora_003406	0	0	0	19	48	39	0	63	0	2	0	0	0	0	15	0	0	0	0	18	
Acropora_003407	11	0	1558	1432	1061	1149	779	402	192	1031	0	1003	0	902	1590	1157	872	397	52	833	
Acropora_003408	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_003410	0	0	4	14	0	4	0	0	0	0	0	15	0	0	0	0	0	3	0	24	
Acropora_003413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
Acropora_003414	0	0	20	229	375	294	81	15	53	447	0	97	0	51	512	147	47	5	0	385	
Acropora_003415	0	0	0	13	14	0	21	0	0	0	0	0	0	21	1	11	0	0	0	0	
Acropora_003416	0	0	6	82	109	89	12	0	29	55	0	41	0	52	43	16	0	17	0	162	
Acropora_003417	0	0	0	5	18	17	0	0	0	12	0	4	0	0	12	33	0	0	0	21	
Acropora_003418	72	0	678	765	717	586	848	342	128	722	0	475	0	468	1058	839	354	316	45	636	
Acropora_003419	0	0	145	90	105	61	83	0	5	6	0	139	0	146	101	95	147	107	0	32	
Acropora_003422	0	0	122	217	86	273	44	11	0	35	0	177	0	140	448	162	85	107	0	216	
Acropora_003424	0	0	0	6	69	0	4	0	0	16	0	21	0	0	3	30	0	10	0	0	
Acropora_003425	0	0	45	41	41	16	127	0	0	6	0	6	0	0	0	13	3	6	0	0	
Acropora_003426	0	0	54	59	14	34	48	0	0	64	0	58	0	21	98	0	0	5	0	31	
