	1087_trimmed	1088_trimmed	1089_trimmed	1090_trimmed	1091_trimmed	1092_trimmed	1096_trimmed	1097_trimmed	1098_trimmed	1099_trimmed	1100_trimmed	2263_trimmed	2264_trimmed	2265_trimmed	2266_trimmed	2267_trimmed	2268_trimmed	2382_trimmed	2383_trimmed	2384_trimmed	
Acropora_000074	1	0	57	76	32	0	81	2	6	42	0	40	0	0	20	76	111	19	0	51	
Acropora_000076	0	0	29	33	171	73	67	0	0	1	0	17	0	1	5	41	0	28	0	8	
Acropora_000077	0	0	663	256	639	783	150	64	3	627	0	1248	0	1453	300	1119	1030	284	2	460	
Acropora_000079	0	0	36	30	43	0	1	0	0	0	0	8	0	52	20	0	124	5	0	23	
Acropora_000081	0	0	40	47	21	8	117	126	0	0	0	27	0	67	47	0	25	11	0	14	
Acropora_000082	0	0	65	0	87	13	31	0	0	0	0	110	0	53	15	25	20	37	0	0	
Acropora_000083	3	0	183	535	307	148	209	0	0	58	0	212	0	24	211	383	235	121	0	30	
Acropora_000084	0	0	20	35	42	0	0	0	0	40	0	2	0	0	8	29	0	14	0	68	
Acropora_000085	0	0	162	63	25	28	57	0	0	1	0	44	0	0	7	14	27	23	0	0	
Acropora_000086	12	0	822	475	773	716	280	109	54	388	0	563	0	482	453	779	562	322	17	567	
Acropora_000087	0	0	62	273	540	363	126	19	11	68	0	110	0	250	218	154	13	15	0	236	
Acropora_000088	0	0	13	25	3	23	31	0	25	33	0	13	0	0	36	4	29	8	0	0	
Acropora_000089	0	0	0	0	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	
Acropora_000090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	
Acropora_000091	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	8	0	0	
Acropora_000092	0	0	160	236	231	306	125	6	0	178	0	276	0	184	220	199	173	123	0	227	
Acropora_000094	0	0	86	38	103	58	70	0	0	0	0	77	0	183	74	74	68	102	0	19	
Acropora_000095	0	0	0	4	0	24	7	0	0	0	0	0	0	0	22	0	0	0	0	0	
Acropora_000096	0	0	87	146	173	32	49	1	0	27	0	43	0	40	169	29	26	19	0	103	
Acropora_000098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
Acropora_000099	0	0	467	747	594	491	360	2	1	31	0	556	0	1124	687	481	604	168	0	60	
Acropora_000100	39	0	2255	2273	1164	1239	1332	220	275	1076	0	2943	0	2136	2931	4547	3305	2068	18	2215	
Acropora_000101	0	0	20	0	0	0	9	0	0	0	0	0	0	37	11	0	0	0	0	0	
Acropora_000102	0	0	851	509	271	323	286	6	0	56	0	646	0	374	1103	677	527	523	0	131	
Acropora_000103	0	0	212	201	283	224	162	0	3	17	0	412	0	362	465	383	345	162	0	103	
Acropora_000104	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	24	
Acropora_000105	0	0	24	29	41	7	1	0	0	0	0	0	0	28	58	0	11	6	0	0	
Acropora_000106	0	0	177	43	34	14	15	0	0	0	0	126	0	234	76	97	67	70	0	0	
Acropora_000107	0	0	0	0	1	6	17	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000108	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000109	0	0	1190	1291	913	892	1221	25	4	118	0	979	0	1405	1231	1141	1542	644	0	132	
Acropora_000110	1	0	72	146	48	105	122	22	0	40	0	274	0	49	231	177	148	119	0	29	
Acropora_000112	3	1	561	320	185	154	264	10	0	162	0	261	0	238	131	217	442	103	88	69	
Acropora_000113	0	0	536	611	534	466	513	3	8	150	0	461	0	541	436	609	990	183	0	97	
Acropora_000114	1	0	159	254	342	294	149	26	3	54	0	115	0	205	382	291	169	22	0	66	
Acropora_000115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Acropora_000117	0	0	3	65	146	53	26	10	0	39	0	0	0	0	0	30	0	0	0	50	
Acropora_000118	0	0	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000119	0	0	48	249	150	91	116	35	0	53	0	48	0	138	170	80	67	8	0	89	
Acropora_000120	0	0	1089	1165	1036	582	678	312	24	91	0	707	0	771	1159	1302	995	406	1	389	
Acropora_000121	49	14	182	229	215	128	247	174	171	36	0	46	0	31	101	51	102	79	260	40	
Acropora_000122	0	0	27	119	133	59	65	13	6	82	0	9	0	45	214	47	27	8	0	113	
Acropora_000123	0	21	785	8299	3384	2302	1754	1124	794	3042	0	876	0	1112	2291	1037	785	358	5	1563	
Acropora_000125	0	0	36	29	164	135	0	1	0	37	0	0	0	0	15	63	122	1	0	0	
Acropora_000130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Acropora_000131	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000132	0	0	38	30	59	68	80	0	0	0	0	55	0	4	113	86	35	29	0	0	
Acropora_000133	0	0	13	0	22	0	0	0	0	45	0	0	0	0	0	0	0	2	0	0	
Acropora_000135	9	0	36	53	0	13	36	0	0	0	0	0	0	0	20	38	36	0	0	15	
Acropora_000136	1	0	0	0	0	0	2	0	0	0	0	1	0	0	5	0	6	1	0	0	
Acropora_000137	0	0	0	67	70	60	9	0	0	151	0	1	0	0	34	34	0	0	0	0	
Acropora_000138	0	0	81	50	147	89	29	1	15	16	0	32	0	10	29	109	10	14	0	20	
Acropora_000139	4	0	133	235	256	269	259	20	1	392	0	224	0	323	264	318	353	91	0	368	
Acropora_000140	0	0	152	524	511	295	224	126	22	292	0	363	0	78	271	202	228	28	0	291	
Acropora_000141	0	0	321	219	228	299	126	0	0	91	0	252	0	436	417	456	366	123	0	34	
Acropora_000142	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	
Acropora_000143	1	0	741	847	743	510	687	55	4	448	0	627	0	413	577	925	450	344	107	295	
Acropora_000144	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	
Acropora_000146	0	0	0	0	8	0	0	0	0	36	0	0	0	7	3	43	155	11	4	36	
Acropora_000147	0	0	21	69	33	0	7	0	0	10	0	0	0	0	0	52	31	13	0	0	
Acropora_000148	0	0	102	222	154	64	235	0	45	118	0	229	0	173	251	201	109	55	25	138	
Acropora_000149	0	0	6	0	0	0	0	7	0	30	0	0	0	0	0	0	0	0	0	0	
Acropora_000150	0	0	0	58	7	0	0	0	0	30	0	0	0	0	36	0	0	0	0	2	
Acropora_000151	1	0	39	509	152	235	90	0	100	141	0	95	0	29	137	136	68	8	0	26	
Acropora_000152	0	0	227	1211	670	468	360	172	63	450	0	294	0	311	567	205	68	92	0	452	
