GO_slim_term,Count,Percent,GO_slim_term_description,module,Ontology,ChildTerm,GO_child_term_description,Annotated,Significant,Expected,weightFisher,Class,GeneList
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0045664,regulation of neuron differentiation,434,206,177.36,0.00257,Biological_Process,"Acropora_000207,Acropora_000323,Acropora_000422,Acropora_000508,Acropora_000512,Acropora_000574,Acropora_000575,Acropora_000703,Acropora_000981,Acropora_001121,Acropora_001438,Acropora_001654,Acropora_001873,Acropora_002066,Acropora_002092,Acropora_002194,Acropora_002212,Acropora_002323,Acropora_002451,Acropora_002470,Acropora_002657,Acropora_002661,Acropora_002710,Acropora_002761,Acropora_002833,Acropora_003079,Acropora_003426,Acropora_003461,Acropora_003721,Acropora_003995,Acropora_004249,Acropora_004574,Acropora_004703,Acropora_005514,Acropora_005792,Acropora_005892,Acropora_005893,Acropora_006113,Acropora_006236,Acropora_006309,Acropora_006310,Acropora_006315,Acropora_006529,Acropora_006531,Acropora_006624,Acropora_006741,Acropora_006872,Acropora_006895,Acropora_007160,Acropora_007516,Acropora_007518,Acropora_007636,Acropora_007675,Acropora_007771,Acropora_007795,Acropora_007819,Acropora_007999,Acropora_008053,Acropora_008145,Acropora_008158,Acropora_008253,Acropora_008625,Acropora_008761,Acropora_008764,Acropora_008817,Acropora_008864,Acropora_008935,Acropora_009173,Acropora_009260,Acropora_009391,Acropora_009990,Acropora_009992,Acropora_010099,Acropora_010298,Acropora_010603,Acropora_010637,Acropora_010794,Acropora_010860,Acropora_010975,Acropora_011001,Acropora_011190,Acropora_011446,Acropora_012524,Acropora_012829,Acropora_012934,Acropora_012952,Acropora_012990,Acropora_013138,Acropora_013162,Acropora_013180,Acropora_013426,Acropora_013503,Acropora_013504,Acropora_013555,Acropora_013786,Acropora_013808,Acropora_013812,Acropora_013980,Acropora_014820,Acropora_014849,Acropora_014971,Acropora_015056,Acropora_015075,Acropora_015222,Acropora_015563,Acropora_015590,Acropora_015792,Acropora_015974,Acropora_017461,Acropora_017488,Acropora_017841,Acropora_018013,Acropora_018117,Acropora_018216,Acropora_018351,Acropora_018394,Acropora_018425,Acropora_018491,Acropora_018536,Acropora_018594,Acropora_018695,Acropora_018716,Acropora_019248,Acropora_019368,Acropora_019423,Acropora_019608,Acropora_019688,Acropora_019732,Acropora_019743,Acropora_020146,Acropora_020198,Acropora_020256,Acropora_020295,Acropora_020314,Acropora_020320,Acropora_020810,Acropora_021532,Acropora_021537,Acropora_021763,Acropora_021796,Acropora_021803,Acropora_021816,Acropora_021904,Acropora_021960,Acropora_021974,Acropora_022021,Acropora_022036,Acropora_022131,Acropora_022243,Acropora_022304,Acropora_022413,Acropora_022483,Acropora_022494,Acropora_022677,Acropora_022680,Acropora_022726,Acropora_022757,Acropora_022778,Acropora_022785,Acropora_023284,Acropora_023592,Acropora_023665,Acropora_023667,Acropora_024056,Acropora_024148,Acropora_024309,Acropora_024310,Acropora_024400,Acropora_024406,Acropora_024945,Acropora_025793,Acropora_026002,Acropora_026017,Acropora_026031,Acropora_026166,Acropora_026217,Acropora_026238,Acropora_026286,Acropora_026316,Acropora_026368,Acropora_026381,Acropora_026443,Acropora_026821,Acropora_027128,Acropora_027655,Acropora_027956,Acropora_028050,Acropora_028085,Acropora_028088,Acropora_028194,Acropora_028197,Acropora_028697,Acropora_029564,Acropora_029598,Acropora_029694,Acropora_029695,Acropora_029766,Acropora_029970,Acropora_029979,Acropora_030960,Acropora_031341,Acropora_031366,Acropora_031367,Acropora_031453,Acropora_031703,Acropora_033692"
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0007298,border follicle cell migration,76,43,31.06,0.0039,Biological_Process,"Acropora_000117,Acropora_001110,Acropora_001729,Acropora_002378,Acropora_002617,Acropora_003407,Acropora_003847,Acropora_003981,Acropora_004067,Acropora_005400,Acropora_006121,Acropora_006214,Acropora_006337,Acropora_006985,Acropora_008082,Acropora_008764,Acropora_010494,Acropora_010644,Acropora_011989,Acropora_013056,Acropora_013786,Acropora_014069,Acropora_015563,Acropora_018010,Acropora_019732,Acropora_020071,Acropora_020295,Acropora_021762,Acropora_021816,Acropora_021986,Acropora_022188,Acropora_022726,Acropora_022785,Acropora_023163,Acropora_023838,Acropora_024101,Acropora_026189,Acropora_026368,Acropora_028050,Acropora_028926,Acropora_029694,Acropora_029695,Acropora_031843"
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0007435,salivary gland morphogenesis,79,41,32.28,0.00448,Biological_Process,"Acropora_000117,Acropora_003449,Acropora_005863,Acropora_005864,Acropora_005893,Acropora_006214,Acropora_006423,Acropora_007160,Acropora_007518,Acropora_009584,Acropora_010494,Acropora_010644,Acropora_011142,Acropora_013503,Acropora_013504,Acropora_013786,Acropora_015270,Acropora_015271,Acropora_018284,Acropora_018487,Acropora_018503,Acropora_020748,Acropora_021803,Acropora_022726,Acropora_022765,Acropora_022766,Acropora_022767,Acropora_022768,Acropora_023284,Acropora_024072,Acropora_024395,Acropora_026114,Acropora_026381,Acropora_026651,Acropora_026817,Acropora_028050,Acropora_028641,Acropora_029694,Acropora_029695,Acropora_030076,Acropora_030333"
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0060560,developmental growth involved in morphog...,218,105,89.09,0.00451,Biological_Process,"Acropora_000323,Acropora_000422,Acropora_000512,Acropora_000574,Acropora_000575,Acropora_000981,Acropora_001438,Acropora_001873,Acropora_002066,Acropora_002224,Acropora_002323,Acropora_002657,Acropora_003079,Acropora_003696,Acropora_003843,Acropora_004249,Acropora_004302,Acropora_004703,Acropora_005689,Acropora_005892,Acropora_006315,Acropora_006529,Acropora_006624,Acropora_006795,Acropora_007160,Acropora_007819,Acropora_008158,Acropora_008253,Acropora_008764,Acropora_008817,Acropora_008935,Acropora_009173,Acropora_009220,Acropora_009391,Acropora_009990,Acropora_010099,Acropora_010603,Acropora_011001,Acropora_011190,Acropora_012999,Acropora_013056,Acropora_013103,Acropora_013127,Acropora_013162,Acropora_013503,Acropora_013504,Acropora_013786,Acropora_014971,Acropora_015056,Acropora_015222,Acropora_015494,Acropora_015590,Acropora_015792,Acropora_015974,Acropora_017461,Acropora_017841,Acropora_017880,Acropora_018055,Acropora_018216,Acropora_018491,Acropora_018764,Acropora_019205,Acropora_019732,Acropora_020295,Acropora_020810,Acropora_021763,Acropora_021795,Acropora_021803,Acropora_022069,Acropora_022131,Acropora_022188,Acropora_022680,Acropora_022726,Acropora_022778,Acropora_022785,Acropora_023284,Acropora_023667,Acropora_024105,Acropora_024309,Acropora_024310,Acropora_024400,Acropora_024406,Acropora_025793,Acropora_026114,Acropora_026238,Acropora_026273,Acropora_026349,Acropora_026357,Acropora_026817,Acropora_027128,Acropora_027298,Acropora_027698,Acropora_027956,Acropora_028050,Acropora_029564,Acropora_029694,Acropora_029695,Acropora_029819,Acropora_029970,Acropora_031231,Acropora_031703,Acropora_032435,Acropora_032439,Acropora_032965,Acropora_34280"
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0060581,cell fate commitment involved in pattern...,28,15,11.44,0.00464,Biological_Process,"Acropora_000422,Acropora_002212,Acropora_005955,Acropora_008764,Acropora_012934,Acropora_013173,Acropora_013174,Acropora_015558,Acropora_021974,Acropora_022069,Acropora_026217,Acropora_028017,Acropora_028018,Acropora_028022,Acropora_028050"
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0002363,alpha-beta T cell lineage commitment,6,6,2.45,0.00464,Biological_Process,"Acropora_003305,Acropora_003306,Acropora_003534,Acropora_007999,Acropora_029404,Acropora_029694"
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0050767,regulation of neurogenesis,535,260,218.64,0.00496,Biological_Process,"Acropora_000039,Acropora_000207,Acropora_000323,Acropora_000407,Acropora_000422,Acropora_000508,Acropora_000512,Acropora_000574,Acropora_000575,Acropora_000596,Acropora_000703,Acropora_000981,Acropora_001121,Acropora_001438,Acropora_001654,Acropora_001873,Acropora_002066,Acropora_002092,Acropora_002194,Acropora_002212,Acropora_002323,Acropora_002451,Acropora_002470,Acropora_002657,Acropora_002661,Acropora_002710,Acropora_002761,Acropora_002833,Acropora_002864,Acropora_003053,Acropora_003079,Acropora_003426,Acropora_003461,Acropora_003721,Acropora_003995,Acropora_004067,Acropora_004249,Acropora_004574,Acropora_004703,Acropora_005400,Acropora_005514,Acropora_005792,Acropora_005823,Acropora_005851,Acropora_005892,Acropora_005893,Acropora_006113,Acropora_006125,Acropora_006214,Acropora_006236,Acropora_006309,Acropora_006310,Acropora_006315,Acropora_006529,Acropora_006531,Acropora_006624,Acropora_006741,Acropora_006820,Acropora_006872,Acropora_006895,Acropora_007160,Acropora_007516,Acropora_007518,Acropora_007636,Acropora_007675,Acropora_007771,Acropora_007795,Acropora_007819,Acropora_007999,Acropora_008053,Acropora_008145,Acropora_008158,Acropora_008253,Acropora_008625,Acropora_008761,Acropora_008764,Acropora_008817,Acropora_008864,Acropora_008935,Acropora_009173,Acropora_009260,Acropora_009391,Acropora_009990,Acropora_009992,Acropora_010099,Acropora_010298,Acropora_010603,Acropora_010637,Acropora_010794,Acropora_010860,Acropora_010975,Acropora_011001,Acropora_011026,Acropora_011190,Acropora_011446,Acropora_011682,Acropora_012524,Acropora_012829,Acropora_012934,Acropora_012952,Acropora_012990,Acropora_013138,Acropora_013162,Acropora_013180,Acropora_013426,Acropora_013503,Acropora_013504,Acropora_013555,Acropora_013786,Acropora_013808,Acropora_013812,Acropora_013980,Acropora_014070,Acropora_014820,Acropora_014849,Acropora_014871,Acropora_014941,Acropora_014971,Acropora_015056,Acropora_015075,Acropora_015206,Acropora_015222,Acropora_015483,Acropora_015494,Acropora_015563,Acropora_015590,Acropora_015792,Acropora_015974,Acropora_017461,Acropora_017470,Acropora_017488,Acropora_017731,Acropora_017747,Acropora_017841,Acropora_018013,Acropora_018117,Acropora_018216,Acropora_018351,Acropora_018394,Acropora_018425,Acropora_018491,Acropora_018536,Acropora_018594,Acropora_018695,Acropora_018716,Acropora_018919,Acropora_019248,Acropora_019368,Acropora_019423,Acropora_019561,Acropora_019608,Acropora_019664,Acropora_019688,Acropora_019732,Acropora_019743,Acropora_020057,Acropora_020146,Acropora_020198,Acropora_020256,Acropora_020295,Acropora_020314,Acropora_020320,Acropora_020626,Acropora_020810,Acropora_021365,Acropora_021532,Acropora_021537,Acropora_021763,Acropora_021796,Acropora_021803,Acropora_021816,Acropora_021904,Acropora_021960,Acropora_021973,Acropora_021974,Acropora_022021,Acropora_022036,Acropora_022131,Acropora_022152,Acropora_022188,Acropora_022243,Acropora_022304,Acropora_022413,Acropora_022483,Acropora_022494,Acropora_022677,Acropora_022680,Acropora_022726,Acropora_022752,Acropora_022757,Acropora_022778,Acropora_022785,Acropora_023128,Acropora_023284,Acropora_023492,Acropora_023592,Acropora_023665,Acropora_023667,Acropora_023826,Acropora_024056,Acropora_024148,Acropora_024309,Acropora_024310,Acropora_024363,Acropora_024385,Acropora_024400,Acropora_024406,Acropora_024879,Acropora_024945,Acropora_025793,Acropora_026002,Acropora_026017,Acropora_026031,Acropora_026114,Acropora_026166,Acropora_026217,Acropora_026238,Acropora_026286,Acropora_026316,Acropora_026368,Acropora_026381,Acropora_026443,Acropora_026656,Acropora_026817,Acropora_026821,Acropora_027128,Acropora_027298,Acropora_027477,Acropora_027478,Acropora_027655,Acropora_027840,Acropora_027956,Acropora_028049,Acropora_028050,Acropora_028085,Acropora_028088,Acropora_028194,Acropora_028197,Acropora_028640,Acropora_028697,Acropora_029564,Acropora_029598,Acropora_029694,Acropora_029695,Acropora_029766,Acropora_029878,Acropora_029970,Acropora_029979,Acropora_030199,Acropora_030333,Acropora_030941,Acropora_030960,Acropora_031253,Acropora_031341,Acropora_031366,Acropora_031367,Acropora_031453,Acropora_031703,Acropora_033692,Acropora_34405"
GO:0048856,9,22.5,anatomical structure development,brown,BP,GO:0007476,imaginal disc-derived wing morphogenesis,159,69,64.98,0.00725,Biological_Process,"Acropora_000261,Acropora_000580,Acropora_002182,Acropora_002223,Acropora_002302,Acropora_002323,Acropora_004067,Acropora_005826,Acropora_006271,Acropora_006549,Acropora_007675,Acropora_007954,Acropora_008203,Acropora_009033,Acropora_009173,Acropora_009992,Acropora_009995,Acropora_010315,Acropora_010899,Acropora_010952,Acropora_011072,Acropora_011493,Acropora_011559,Acropora_011682,Acropora_011989,Acropora_013503,Acropora_013504,Acropora_013563,Acropora_013786,Acropora_014385,Acropora_014820,Acropora_015206,Acropora_015222,Acropora_015599,Acropora_017669,Acropora_018425,Acropora_018487,Acropora_018503,Acropora_019368,Acropora_019440,Acropora_019764,Acropora_020065,Acropora_020243,Acropora_020677,Acropora_020759,Acropora_020810,Acropora_021763,Acropora_021959,Acropora_021986,Acropora_022134,Acropora_022243,Acropora_022413,Acropora_022426,Acropora_022726,Acropora_023128,Acropora_024945,Acropora_026076,Acropora_026579,Acropora_026817,Acropora_026858,Acropora_027126,Acropora_027934,Acropora_028003,Acropora_028050,Acropora_028153,Acropora_029694,Acropora_029695,Acropora_030199,Acropora_031246"
GO:0048870,1,2.5,cell motility,brown,BP,GO:0007298,border follicle cell migration,76,43,31.06,0.0039,Biological_Process,"Acropora_000117,Acropora_001110,Acropora_001729,Acropora_002378,Acropora_002617,Acropora_003407,Acropora_003847,Acropora_003981,Acropora_004067,Acropora_005400,Acropora_006121,Acropora_006214,Acropora_006337,Acropora_006985,Acropora_008082,Acropora_008764,Acropora_010494,Acropora_010644,Acropora_011989,Acropora_013056,Acropora_013786,Acropora_014069,Acropora_015563,Acropora_018010,Acropora_019732,Acropora_020071,Acropora_020295,Acropora_021762,Acropora_021816,Acropora_021986,Acropora_022188,Acropora_022726,Acropora_022785,Acropora_023163,Acropora_023838,Acropora_024101,Acropora_026189,Acropora_026368,Acropora_028050,Acropora_028926,Acropora_029694,Acropora_029695,Acropora_031843"
GO:0050877,1,2.5,nervous system process,brown,BP,GO:2000463,positive regulation of excitatory postsy...,14,11,5.72,0.00473,Biological_Process,"Acropora_001184,Acropora_005893,Acropora_006591,Acropora_006741,Acropora_007771,Acropora_013786,Acropora_018117,Acropora_020146,Acropora_022131,Acropora_024040,Acropora_030692"
GO:0098542,1,2.5,defense response to other organism,brown,BP,GO:0045088,regulation of innate immune response,172,73,70.29,0.0019,Biological_Process,"Acropora_000308,Acropora_000449,Acropora_000786,Acropora_001724,Acropora_001755,Acropora_001956,Acropora_002212,Acropora_002224,Acropora_002791,Acropora_003287,Acropora_003305,Acropora_003306,Acropora_003534,Acropora_003577,Acropora_003736,Acropora_003847,Acropora_004705,Acropora_005400,Acropora_005526,Acropora_006007,Acropora_006108,Acropora_006147,Acropora_006650,Acropora_007270,Acropora_008133,Acropora_008145,Acropora_008253,Acropora_008948,Acropora_009201,Acropora_010637,Acropora_010926,Acropora_011682,Acropora_011989,Acropora_013372,Acropora_013933,Acropora_014569,Acropora_015256,Acropora_015725,Acropora_017221,Acropora_017412,Acropora_017795,Acropora_017868,Acropora_018028,Acropora_018077,Acropora_019201,Acropora_019608,Acropora_019951,Acropora_021734,Acropora_021803,Acropora_022031,Acropora_022272,Acropora_023330,Acropora_023826,Acropora_024101,Acropora_024363,Acropora_024385,Acropora_026105,Acropora_026553,Acropora_028049,Acropora_028194,Acropora_029829,Acropora_030199,Acropora_030977,Acropora_031298,Acropora_031396,Acropora_031486,Acropora_031489,Acropora_031925,Acropora_032853,Acropora_032856,Acropora_033042,Acropora_033092,Acropora_033406"
GO:0003774,1,8.333333333333334,cytoskeletal motor activity,brown,MF,GO:0008574,plus-end-directed microtubule motor acti...,19,16,7.82,1.5e-4,Molecular_Function,"Acropora_002811,Acropora_004839,Acropora_005763,Acropora_005792,Acropora_006146,Acropora_006660,Acropora_009156,Acropora_010803,Acropora_011446,Acropora_016414,Acropora_017560,Acropora_018017,Acropora_018020,Acropora_020329,Acropora_023000,Acropora_029981"
GO:0003824,2,16.666666666666668,catalytic activity,brown,MF,GO:0016887,ATP hydrolysis activity,294,154,120.97,4.4e-5,Molecular_Function,"Acropora_000001,Acropora_000087,Acropora_000390,Acropora_000580,Acropora_000710,Acropora_000806,Acropora_001078,Acropora_001114,Acropora_001298,Acropora_001360,Acropora_001660,Acropora_001665,Acropora_001973,Acropora_002057,Acropora_002224,Acropora_002273,Acropora_002496,Acropora_002498,Acropora_002658,Acropora_002689,Acropora_002702,Acropora_002791,Acropora_002811,Acropora_003074,Acropora_003722,Acropora_003724,Acropora_003827,Acropora_004051,Acropora_004067,Acropora_004126,Acropora_004185,Acropora_004349,Acropora_004493,Acropora_004529,Acropora_004839,Acropora_005763,Acropora_005792,Acropora_005814,Acropora_005825,Acropora_005927,Acropora_005940,Acropora_005942,Acropora_005962,Acropora_006146,Acropora_006252,Acropora_006264,Acropora_006347,Acropora_006498,Acropora_006660,Acropora_006892,Acropora_006911,Acropora_007068,Acropora_007070,Acropora_007636,Acropora_008447,Acropora_008817,Acropora_008880,Acropora_008929,Acropora_009156,Acropora_009297,Acropora_009421,Acropora_009488,Acropora_009996,Acropora_009997,Acropora_009998,Acropora_010749,Acropora_010803,Acropora_010979,Acropora_011000,Acropora_011259,Acropora_011286,Acropora_011446,Acropora_012861,Acropora_013277,Acropora_013357,Acropora_013699,Acropora_013750,Acropora_014846,Acropora_015096,Acropora_015484,Acropora_015529,Acropora_015594,Acropora_015842,Acropora_016057,Acropora_016414,Acropora_016415,Acropora_017481,Acropora_017560,Acropora_017646,Acropora_017691,Acropora_017748,Acropora_017817,Acropora_017841,Acropora_017879,Acropora_017907,Acropora_018017,Acropora_018020,Acropora_018107,Acropora_018162,Acropora_018196,Acropora_018363,Acropora_018518,Acropora_019682,Acropora_019730,Acropora_019732,Acropora_019869,Acropora_019871,Acropora_020190,Acropora_020217,Acropora_020243,Acropora_020329,Acropora_020400,Acropora_020554,Acropora_020748,Acropora_021271,Acropora_021275,Acropora_021799,Acropora_021973,Acropora_022021,Acropora_022206,Acropora_022404,Acropora_022537,Acropora_023000,Acropora_023158,Acropora_023608,Acropora_023612,Acropora_023826,Acropora_023978,Acropora_024070,Acropora_024072,Acropora_024316,Acropora_024945,Acropora_026209,Acropora_026225,Acropora_026326,Acropora_026428,Acropora_027655,Acropora_027715,Acropora_027950,Acropora_028049,Acropora_028215,Acropora_028533,Acropora_028697,Acropora_029531,Acropora_029613,Acropora_029959,Acropora_029981,Acropora_030199,Acropora_030971,Acropora_031212,Acropora_031257,Acropora_031316,Acropora_031956,Acropora_34284"
GO:0003824,2,16.666666666666668,catalytic activity,brown,MF,GO:0004177,aminopeptidase activity,23,16,9.46,0.005,Molecular_Function,"Acropora_003730,Acropora_003732,Acropora_003871,Acropora_007038,Acropora_007399,Acropora_009140,Acropora_015759,Acropora_017980,Acropora_018543,Acropora_019919,Acropora_022174,Acropora_024965,Acropora_025962,Acropora_026042,Acropora_027400,Acropora_031857"
GO:0008092,1,8.333333333333334,cytoskeletal protein binding,brown,MF,GO:0008017,microtubule binding,119,69,48.96,7.7e-4,Molecular_Function,"Acropora_000117,Acropora_002132,Acropora_002225,Acropora_002811,Acropora_002833,Acropora_003363,Acropora_003461,Acropora_003696,Acropora_003830,Acropora_004481,Acropora_005792,Acropora_006611,Acropora_006624,Acropora_006660,Acropora_006689,Acropora_006911,Acropora_007395,Acropora_007550,Acropora_007819,Acropora_008158,Acropora_008511,Acropora_008764,Acropora_008825,Acropora_008908,Acropora_009156,Acropora_009184,Acropora_010315,Acropora_010803,Acropora_011146,Acropora_011392,Acropora_011446,Acropora_012611,Acropora_013014,Acropora_013426,Acropora_014101,Acropora_015056,Acropora_015339,Acropora_015636,Acropora_015974,Acropora_017747,Acropora_017841,Acropora_018017,Acropora_018020,Acropora_018029,Acropora_018052,Acropora_018058,Acropora_018431,Acropora_018716,Acropora_019732,Acropora_019814,Acropora_019879,Acropora_020203,Acropora_020314,Acropora_021870,Acropora_021965,Acropora_022785,Acropora_023577,Acropora_023945,Acropora_026241,Acropora_026315,Acropora_026316,Acropora_026651,Acropora_026821,Acropora_028032,Acropora_028397,Acropora_029981,Acropora_031253,Acropora_032450,Acropora_34482"
GO:0008289,1,8.333333333333334,lipid binding,brown,MF,GO:0005547,"phosphatidylinositol-3,4,5-trisphosphate...",36,24,14.81,0.00171,Molecular_Function,"Acropora_000981,Acropora_005185,Acropora_005421,Acropora_011392,Acropora_013056,Acropora_013342,Acropora_013823,Acropora_015647,Acropora_016414,Acropora_016631,Acropora_017560,Acropora_018594,Acropora_019589,Acropora_020329,Acropora_022027,Acropora_022031,Acropora_022342,Acropora_022413,Acropora_026166,Acropora_026443,Acropora_027393,Acropora_027395,Acropora_027396,Acropora_027904"
GO:0016787,2,16.666666666666668,hydrolase activity,brown,MF,GO:0016887,ATP hydrolysis activity,294,154,120.97,4.4e-5,Molecular_Function,"Acropora_000001,Acropora_000087,Acropora_000390,Acropora_000580,Acropora_000710,Acropora_000806,Acropora_001078,Acropora_001114,Acropora_001298,Acropora_001360,Acropora_001660,Acropora_001665,Acropora_001973,Acropora_002057,Acropora_002224,Acropora_002273,Acropora_002496,Acropora_002498,Acropora_002658,Acropora_002689,Acropora_002702,Acropora_002791,Acropora_002811,Acropora_003074,Acropora_003722,Acropora_003724,Acropora_003827,Acropora_004051,Acropora_004067,Acropora_004126,Acropora_004185,Acropora_004349,Acropora_004493,Acropora_004529,Acropora_004839,Acropora_005763,Acropora_005792,Acropora_005814,Acropora_005825,Acropora_005927,Acropora_005940,Acropora_005942,Acropora_005962,Acropora_006146,Acropora_006252,Acropora_006264,Acropora_006347,Acropora_006498,Acropora_006660,Acropora_006892,Acropora_006911,Acropora_007068,Acropora_007070,Acropora_007636,Acropora_008447,Acropora_008817,Acropora_008880,Acropora_008929,Acropora_009156,Acropora_009297,Acropora_009421,Acropora_009488,Acropora_009996,Acropora_009997,Acropora_009998,Acropora_010749,Acropora_010803,Acropora_010979,Acropora_011000,Acropora_011259,Acropora_011286,Acropora_011446,Acropora_012861,Acropora_013277,Acropora_013357,Acropora_013699,Acropora_013750,Acropora_014846,Acropora_015096,Acropora_015484,Acropora_015529,Acropora_015594,Acropora_015842,Acropora_016057,Acropora_016414,Acropora_016415,Acropora_017481,Acropora_017560,Acropora_017646,Acropora_017691,Acropora_017748,Acropora_017817,Acropora_017841,Acropora_017879,Acropora_017907,Acropora_018017,Acropora_018020,Acropora_018107,Acropora_018162,Acropora_018196,Acropora_018363,Acropora_018518,Acropora_019682,Acropora_019730,Acropora_019732,Acropora_019869,Acropora_019871,Acropora_020190,Acropora_020217,Acropora_020243,Acropora_020329,Acropora_020400,Acropora_020554,Acropora_020748,Acropora_021271,Acropora_021275,Acropora_021799,Acropora_021973,Acropora_022021,Acropora_022206,Acropora_022404,Acropora_022537,Acropora_023000,Acropora_023158,Acropora_023608,Acropora_023612,Acropora_023826,Acropora_023978,Acropora_024070,Acropora_024072,Acropora_024316,Acropora_024945,Acropora_026209,Acropora_026225,Acropora_026326,Acropora_026428,Acropora_027655,Acropora_027715,Acropora_027950,Acropora_028049,Acropora_028215,Acropora_028533,Acropora_028697,Acropora_029531,Acropora_029613,Acropora_029959,Acropora_029981,Acropora_030199,Acropora_030971,Acropora_031212,Acropora_031257,Acropora_031316,Acropora_031956,Acropora_34284"
GO:0016787,2,16.666666666666668,hydrolase activity,brown,MF,GO:0004177,aminopeptidase activity,23,16,9.46,0.005,Molecular_Function,"Acropora_003730,Acropora_003732,Acropora_003871,Acropora_007038,Acropora_007399,Acropora_009140,Acropora_015759,Acropora_017980,Acropora_018543,Acropora_019919,Acropora_022174,Acropora_024965,Acropora_025962,Acropora_026042,Acropora_027400,Acropora_031857"
GO:0060090,1,8.333333333333334,molecular adaptor activity,brown,MF,GO:0003714,transcription corepressor activity,89,50,36.62,0.00279,Molecular_Function,"Acropora_000033,Acropora_000261,Acropora_000867,Acropora_001163,Acropora_001339,Acropora_002611,Acropora_003635,Acropora_003995,Acropora_004143,Acropora_004302,Acropora_006712,Acropora_007795,Acropora_009990,Acropora_011043,Acropora_012909,Acropora_013471,Acropora_015077,Acropora_015078,Acropora_015083,Acropora_015635,Acropora_016601,Acropora_016609,Acropora_017461,Acropora_017488,Acropora_017731,Acropora_017988,Acropora_018048,Acropora_018122,Acropora_018491,Acropora_018742,Acropora_019690,Acropora_020198,Acropora_020759,Acropora_021847,Acropora_022115,Acropora_022188,Acropora_022404,Acropora_022692,Acropora_023608,Acropora_023612,Acropora_024072,Acropora_024385,Acropora_025935,Acropora_026370,Acropora_027715,Acropora_029688,Acropora_029819,Acropora_030199,Acropora_031396,Acropora_34299"
GO:0140096,1,8.333333333333334,"catalytic activity, acting on a protein",brown,MF,GO:0004177,aminopeptidase activity,23,16,9.46,0.005,Molecular_Function,"Acropora_003730,Acropora_003732,Acropora_003871,Acropora_007038,Acropora_007399,Acropora_009140,Acropora_015759,Acropora_017980,Acropora_018543,Acropora_019919,Acropora_022174,Acropora_024965,Acropora_025962,Acropora_026042,Acropora_027400,Acropora_031857"
GO:0140110,1,8.333333333333334,transcription regulator activity,brown,MF,GO:0003714,transcription corepressor activity,89,50,36.62,0.00279,Molecular_Function,"Acropora_000033,Acropora_000261,Acropora_000867,Acropora_001163,Acropora_001339,Acropora_002611,Acropora_003635,Acropora_003995,Acropora_004143,Acropora_004302,Acropora_006712,Acropora_007795,Acropora_009990,Acropora_011043,Acropora_012909,Acropora_013471,Acropora_015077,Acropora_015078,Acropora_015083,Acropora_015635,Acropora_016601,Acropora_016609,Acropora_017461,Acropora_017488,Acropora_017731,Acropora_017988,Acropora_018048,Acropora_018122,Acropora_018491,Acropora_018742,Acropora_019690,Acropora_020198,Acropora_020759,Acropora_021847,Acropora_022115,Acropora_022188,Acropora_022404,Acropora_022692,Acropora_023608,Acropora_023612,Acropora_024072,Acropora_024385,Acropora_025935,Acropora_026370,Acropora_027715,Acropora_029688,Acropora_029819,Acropora_030199,Acropora_031396,Acropora_34299"
