"","pval","term","direction","color"
"25/117 structural constituent of ribosome",2.54085891856445e-07,"GO:0003735",0,"dodgerblue2"
"80/276 structural molecule activity",0.000795517359619904,"GO:0005198",0,"dodgerblue2"
