"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Location_Compare"
"Acerv_evm.model.Segkk2_pilon.3",359.354773696463,-1.89868295764156,0.622566936813101,-3.04976516639456,0.00229020362331441,0.0119631733572289,"NurseryvsCCC"
"Acerv_evm.model.Segkk16_pilon.4",6351.34769870519,-0.323386875550479,0.587326437536029,-0.550608409366283,0.58190214290726,0.678337902937089,"NurseryvsCCC"
"Acerv_evm.model.Segkk16_pilon.1",86.0168428427684,-2.00947341443084,0.963330699629248,-2.08596426461257,0.0369818601991485,0.0837447836981395,"NurseryvsCCC"
"Acerv_evm.model.Segkk16_pilon.23",148.59132968178,-1.54426457281272,0.541091983433956,-2.85397791889704,0.00431755321545866,0.0175826673708481,"NurseryvsCCC"
"Acerv_evm.model.Segkk16_pilon.24",639.553265696887,-1.5258430951487,0.630142836909294,-2.42142416889576,0.0154598261850023,0.0447753330332575,"NurseryvsCCC"
"Acerv_evm.model.Segkk29_pilon.13",240.51465637444,-1.50253506425014,0.459712460396011,-3.2684236206167,0.00108148362939211,0.00727650398471431,"NurseryvsCCC"
"Acerv_evm.model.Segkk29_pilon.7",2988.57838883247,1.65438184613037,0.714017939027885,2.31700319516168,0.0205035577149885,0.0541223975504388,"NurseryvsCCC"
"Acerv_evm.model.Segkk37_pilon.8",109.963114222946,-1.45171380234087,1.05962641794283,-1.37002416866809,0.170679357292122,0.268489255816579,"NurseryvsCCC"
"Acerv_evm.model.Segkk38_pilon.10",102.624218039095,-1.67893863575338,0.579851681413658,-2.89546221830414,0.00378600602012156,0.0163293444412809,"NurseryvsCCC"
"Acerv_evm.model.Segkk48_pilon.3",1874.54472949464,-1.75559273629085,0.726285141553276,-2.41722243213765,0.0156394568413693,0.044922616170801,"NurseryvsCCC"
"Acerv_evm.model.Segkk48_pilon.5",373.076232603154,-2.29204919362401,0.646684961143333,-3.54430569959704,0.000393648531556355,0.00359710664114868,"NurseryvsCCC"
"Acerv_evm.model.Segkk48_pilon.9",511.462829480003,-2.92903733657535,0.62678471694507,-4.67311543722922,2.96664911492987e-06,0.000104934617265234,"NurseryvsCCC"
"Acerv_evm.model.Segkk48_pilon.11",7461.2995395877,-1.82687352459037,0.625323712699559,-2.92148448473774,0.00348367626509688,0.0155696433797471,"NurseryvsCCC"
"Acerv_evm.model.Segkk48_pilon.10",252.697632042621,-1.48847420987133,0.517168452825082,-2.87812259572369,0.0040004963810432,0.0167577984749547,"NurseryvsCCC"
"Acerv_evm.model.Segkk49_pilon.7",61.4275590088326,0.765433892855891,0.515785295319726,1.48401650803444,0.137804541174099,0.22899600264904,"NurseryvsCCC"
"Acerv_evm.model.Segkk51_pilon.18",86.4316178037957,-0.636923827996487,0.49543291376676,-1.28559046098487,0.198586027578825,0.300549513621743,"NurseryvsCCC"
"Acerv_evm.model.Segkk51_pilon.5",176.628556254373,0.426255720464664,0.532933530904277,0.799829051366682,0.423809848689302,0.537991923169955,"NurseryvsCCC"
"Acerv_evm.model.Segkk51_pilon.4",430.964565458296,-0.75394803703822,0.457312687217548,-1.64864885255099,0.0992195942424138,0.176485427689811,"NurseryvsCCC"
"Acerv_evm.model.Segkk54_pilon.1",188.805241942606,-2.24404129723136,0.599274045897203,-3.74459950767882,0.000180681757174775,0.00211022656021105,"NurseryvsCCC"
"Acerv_evm.model.Segkk60_pilon.12",182.264735889029,-1.50175953247683,0.559408815925188,-2.68454748964426,0.00726280644732528,0.026759983279133,"NurseryvsCCC"
"Acerv_evm.model.Segkk68_pilon.41",64.6368858721148,-1.11055231429391,0.524188644577535,-2.11861192679775,0.0341232769489668,0.0794015214966851,"NurseryvsCCC"
"Acerv_evm.model.Segkk68_pilon.59",251.02665585029,-2.52097117865106,0.534871143379491,-4.71323085916122,2.43819696288218e-06,9.73705754854238e-05,"NurseryvsCCC"
"Acerv_evm.model.Segkk72_pilon.3",95.0786491105179,-0.571315870283798,0.581247737673043,-0.982912849813393,0.325650332996813,0.444003427588165,"NurseryvsCCC"
