"","Acer_1089","Acer_1090","Acer_1091","Acer_1092","Acer_1097","Acer_1098","Acer_1099","Acer_1100","Acer_2263","Acer_2265","Acer_2266","Acer_2267","Acer_2268","Acer_2382","Acer_2384"
"Symbiodinium10223",5,12,11,2,0,0,0,0,0,0,0,0,55,0,0
"Symbiodinium10227",728,888,3676,1963,1008,38,3620,0,797,1703,1411,1923,1308,563,3546
"Symbiodinium10230",905,615,2003,998,3415,1075,2973,0,1110,1624,1115,1904,1311,979,3418
"Symbiodinium10233",58,16,92,136,0,0,0,0,146,327,1,82,103,49,37
"Symbiodinium10234",60,0,52,31,85,11,77,0,6,0,108,51,102,24,0
"Symbiodinium10242",0,0,59,0,0,0,0,0,0,0,0,0,15,0,0
"Symbiodinium10246",10,19,21,29,0,0,0,0,12,69,0,40,5,8,0
"Symbiodinium10247",51,18,35,54,0,0,41,0,60,71,83,92,22,60,58
"Symbiodinium10250",0,0,1,0,0,336,39,0,8,42,0,28,0,5,14
"Symbiodinium10253",73,85,68,103,1207,262,151,0,154,48,19,136,82,71,56
"Symbiodinium10254",83,59,121,72,23,0,30,0,90,192,201,37,62,127,23
"Symbiodinium10256",184,88,555,202,144,125,238,0,540,271,429,225,358,344,634
"Symbiodinium10259",31,38,151,94,1449,546,604,0,87,78,122,38,39,47,115
"Symbiodinium10261",9,3,23,16,0,1,0,0,4,27,0,19,19,0,0
"Symbiodinium10262",7,0,0,0,0,0,0,0,10,0,13,0,0,6,0
"Symbiodinium10265",0,0,0,4,0,0,0,0,2,59,0,31,0,0,0
"Symbiodinium10266",9,31,87,35,0,0,0,0,49,5,57,0,11,3,44
"Symbiodinium10269",0,0,24,0,0,0,0,0,21,1,53,0,0,0,14
"Symbiodinium10271",8,58,141,84,0,0,33,0,88,124,244,63,89,83,60
"Symbiodinium10273",55,39,218,56,0,0,34,0,48,98,119,98,86,64,2
"Symbiodinium10277",0,0,0,0,3,0,0,0,0,0,0,0,16,12,0
"Symbiodinium10291",2,26,53,31,83,0,46,0,34,75,61,23,9,11,0
"Symbiodinium103",0,14,0,0,0,0,0,0,0,0,0,0,0,11,67
"Symbiodinium10302",40,14,50,0,92,287,26,0,30,27,51,17,11,46,30
"Symbiodinium10303",78,95,122,183,74,1,117,0,50,207,10,109,158,133,116
"Symbiodinium10304",3,1,85,38,79,0,1,0,11,0,0,0,0,8,0
"Symbiodinium10308",74,37,96,90,226,0,44,0,151,111,119,62,16,48,183
"Symbiodinium10310",0,2,0,0,35,0,0,0,0,0,0,0,0,10,0
"Symbiodinium10312",58,54,175,275,362,140,398,0,190,159,163,93,112,143,525
"Symbiodinium10313",25,15,57,45,78,0,42,0,61,14,75,0,51,43,92
"Symbiodinium10315",23,0,0,0,0,0,0,0,0,0,0,13,0,0,0
"Symbiodinium10316",37,27,88,86,20,2,134,0,70,69,12,117,40,61,151
"Symbiodinium10318",347,150,344,198,42,27,53,0,263,427,602,638,791,432,328
"Symbiodinium10323",0,0,10,0,0,12,0,0,0,0,0,1,0,4,0
