"","Acer_1089","Acer_1090","Acer_1091","Acer_1092","Acer_1097","Acer_1098","Acer_1099","Acer_1100","Acer_2263","Acer_2265","Acer_2266","Acer_2267","Acer_2268","Acer_2382","Acer_2384"
"Symbiodinium12340",10,5,36,0,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium12341",14,0,17,5,0,0,71,0,19,0,0,24,39,21,0
"Symbiodinium12345",48,0,2,21,6,0,22,0,32,39,45,51,52,53,12
"Symbiodinium12346",6,2,137,11,0,0,0,0,42,0,39,99,66,30,25
"Symbiodinium12349",13,71,171,107,4,19,28,0,42,40,92,0,13,22,34
"Symbiodinium12352",11,60,44,68,271,80,56,0,24,0,25,23,72,46,147
"Symbiodinium12355",21,0,0,0,0,0,0,0,12,0,0,0,1,0,0
"Symbiodinium12358",281,68,637,460,134,1,148,0,359,318,388,635,214,134,510
"Symbiodinium12359",0,0,0,0,0,0,0,0,10,0,55,0,0,0,0
"Symbiodinium12360",3,32,12,10,0,0,8,0,0,0,27,22,22,4,0
"Symbiodinium12361",8,0,29,0,0,0,0,0,2,0,0,22,27,0,19
"Symbiodinium12366",13,22,56,6,3,0,0,0,13,0,65,0,2,9,0
"Symbiodinium12371",0,34,0,3,15,16,2,0,0,24,0,0,4,0,1
"Symbiodinium12376",0,16,20,0,0,55,0,0,0,0,0,12,0,22,0
"Symbiodinium12377",149,82,242,128,79,7,37,0,102,120,65,317,106,101,296
"Symbiodinium12378",0,0,0,0,0,0,0,0,0,0,35,20,0,0,0
"Symbiodinium12379",25,4,0,0,28,0,0,0,21,0,38,30,10,11,0
"Symbiodinium12380",0,0,5,0,7,0,26,0,6,34,7,0,0,0,0
"Symbiodinium12385",0,0,2,0,0,0,3,0,0,32,0,0,0,13,0
"Symbiodinium12386",75,63,70,38,71,3,106,0,63,214,153,33,33,87,145
"Symbiodinium1239",19,0,0,8,25,0,0,0,11,15,93,0,34,26,42
"Symbiodinium12390",3,5,19,0,0,0,0,0,0,15,20,60,0,20,0
"Symbiodinium12392",222,167,245,172,525,0,436,0,197,217,158,138,264,132,641
"Symbiodinium12395",238,116,208,108,46,0,67,0,294,174,114,212,122,151,256
"Symbiodinium12396",0,2,0,15,0,0,2,0,36,30,0,0,2,12,0
"Symbiodinium12397",0,3,34,0,0,0,0,0,1,0,41,0,0,3,0
"Symbiodinium12399",33,4,0,0,0,0,0,0,0,0,37,0,3,1,0
"Symbiodinium12400",0,10,5,0,0,0,28,0,0,0,0,0,0,0,9
"Symbiodinium12401",18,2,45,37,0,0,0,0,38,2,0,5,27,26,7
"Symbiodinium12403",12,0,0,0,0,0,0,0,0,38,0,0,8,0,0
"Symbiodinium12404",76,32,86,30,96,112,54,0,35,0,25,14,47,68,83
"Symbiodinium12405",0,0,5,0,0,0,0,0,0,0,40,0,0,0,22
"Symbiodinium12406",3,0,0,39,1,0,0,0,0,0,0,0,27,0,0
"Symbiodinium12409",0,0,20,0,42,0,0,0,10,0,45,11,14,0,132
"Symbiodinium12414",79,24,88,68,248,0,34,0,145,57,133,107,124,62,232
"Symbiodinium12415",28,5,70,19,0,0,0,0,13,110,1,84,11,22,42
"Symbiodinium12416",1,0,48,0,0,0,0,0,20,0,0,0,0,5,48
"Symbiodinium12419",15,0,2,0,45,0,0,0,0,0,0,59,0,3,0
"Symbiodinium12428",6,46,75,44,445,28,146,1,39,54,88,61,93,43,32
"Symbiodinium12431",60,17,96,72,6,15,16,0,13,4,11,39,92,41,66
"Symbiodinium12432",18,0,0,0,0,0,0,0,0,0,0,20,0,0,1
"Symbiodinium12433",13,4,0,28,17,0,0,0,11,0,0,19,11,22,8
"Symbiodinium12434",79,12,14,0,0,0,1,0,64,156,91,71,142,63,25
"Symbiodinium12436",2,0,0,0,0,0,0,0,16,0,0,0,0,0,20
"Symbiodinium12438",0,0,23,6,2,0,0,0,18,0,0,20,0,13,35
"Symbiodinium12441",0,7,0,47,0,0,0,0,0,6,13,0,0,0,0
"Symbiodinium12442",0,17,41,6,0,0,26,0,46,2,60,9,0,34,30
"Symbiodinium12444",189,204,581,353,389,11,501,0,277,176,206,449,214,97,455
"Symbiodinium12448",0,1,75,0,0,0,12,0,0,0,0,0,0,0,0
"Symbiodinium12449",0,3,26,33,0,0,0,0,0,0,0,27,5,0,0
"Symbiodinium12450",118,15,254,118,0,0,4,0,86,187,78,10,138,45,187
"Symbiodinium12451",20,22,1,0,0,0,16,0,0,0,0,0,0,0,0
"Symbiodinium12452",14,1,0,6,0,0,16,0,25,29,0,0,0,0,0
"Symbiodinium12455",22,4,37,37,0,0,5,0,60,0,79,14,122,35,25
"Symbiodinium12456",5,0,0,12,0,0,0,0,20,0,24,78,16,27,0
"Symbiodinium12461",16,0,8,0,0,0,0,0,0,0,11,0,0,17,10
"Symbiodinium12463",0,0,6,0,0,0,9,0,4,0,55,19,0,0,0
"Symbiodinium12465",0,0,0,0,0,0,0,0,13,0,0,28,21,4,0
"Symbiodinium12466",137,36,285,144,35,0,21,0,205,177,177,200,289,75,117
"Symbiodinium12467",6,4,89,0,0,7,0,0,14,33,0,0,0,7,0
"Symbiodinium12469",0,9,6,0,0,0,28,0,0,42,10,22,8,20,44
"Symbiodinium12471",38,44,128,84,126,0,260,0,17,58,0,36,0,29,182
"Symbiodinium12473",15,4,0,11,0,0,0,0,21,42,38,0,4,2,2
"Symbiodinium12475",388,176,735,455,410,103,100,0,361,624,932,761,501,439,195
"Symbiodinium12476",0,0,0,0,0,0,0,0,0,0,0,48,0,10,10
"Symbiodinium12477",0,17,9,4,10,0,0,0,45,0,53,0,0,9,0
"Symbiodinium12479",64,25,191,31,115,0,3,0,28,128,128,60,46,35,161
"Symbiodinium12481",52,50,465,162,352,373,113,0,43,265,160,171,40,122,108
"Symbiodinium12484",42,0,24,19,0,0,4,0,131,0,0,36,38,41,22
"Symbiodinium12487",32,40,268,166,20,168,151,0,50,51,45,87,113,86,52
"Symbiodinium12488",185,89,298,160,486,14,103,0,177,75,143,71,107,156,221
"Symbiodinium12489",0,0,0,0,0,0,0,0,29,0,0,0,41,0,0
"Symbiodinium12491",2,6,12,0,0,0,0,0,7,0,21,0,38,5,0
"Symbiodinium12492",8,16,13,15,0,0,70,0,70,85,65,38,11,7,0
"Symbiodinium12495",0,0,0,16,0,0,39,0,0,0,62,0,0,5,0
"Symbiodinium12505",0,0,2,0,0,0,0,0,43,0,0,0,0,8,13
"Symbiodinium12506",7,0,0,0,0,0,0,0,3,0,0,4,5,10,36
"Symbiodinium12511",0,3,13,0,0,0,0,0,0,0,1,14,0,0,0
"Symbiodinium12512",12,6,0,0,0,33,0,0,0,0,0,2,0,0,0
"Symbiodinium12513",21,0,0,0,210,0,0,0,0,0,0,0,0,0,0
"Symbiodinium12518",80,3,0,8,0,0,0,0,0,0,0,11,0,0,0
"Symbiodinium12522",237,192,473,460,158,104,399,0,319,219,219,540,123,225,845
"Symbiodinium12529",43,42,168,149,0,0,56,0,88,191,207,70,199,117,216
"Symbiodinium12531",7,0,22,0,0,0,30,0,23,0,12,0,0,14,44
"Symbiodinium12532",201,159,408,232,41,0,107,0,289,218,163,373,369,145,142
"Symbiodinium12533",0,16,29,0,0,0,0,0,7,42,0,20,3,1,0
"Symbiodinium12537",154,98,235,224,40,0,148,0,194,179,303,159,84,88,232
"Symbiodinium12538",29,9,41,32,0,0,0,0,12,40,0,84,6,2,67
"Symbiodinium12539",27,0,35,0,0,0,0,0,0,0,0,23,2,3,15
"Symbiodinium12542",17,13,62,15,0,0,41,0,0,73,66,15,10,1,9
"Symbiodinium12544",0,0,5,0,1,0,33,0,0,0,0,16,0,2,0
"Symbiodinium12548",0,0,47,0,0,0,0,0,7,0,0,0,3,25,0
"Symbiodinium12550",0,11,41,25,0,0,0,0,35,0,0,0,9,34,18
"Symbiodinium12553",16,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium12554",7,38,0,3,14,0,82,0,46,119,336,35,58,61,218
"Symbiodinium12566",60,51,0,31,0,0,24,0,47,110,27,23,135,30,24
"Symbiodinium12568",1,0,0,9,0,0,0,0,0,49,7,28,43,1,0
"Symbiodinium12570",5,0,0,0,0,0,0,0,0,73,17,0,0,21,0
"Symbiodinium12578",10,12,21,3,0,0,0,0,0,0,0,0,28,6,0
"Symbiodinium12582",0,0,15,0,0,0,0,0,34,32,0,0,0,15,39
"Symbiodinium12583",16,13,99,11,0,0,0,0,8,69,65,46,10,39,119
"Symbiodinium12584",66,0,14,0,0,0,0,0,0,0,17,0,0,7,0
"Symbiodinium12585",20,0,13,13,0,0,0,0,12,0,0,30,0,0,24
"Symbiodinium12588",22,11,50,22,53,0,0,0,76,106,17,85,12,34,0
"Symbiodinium12590",0,0,21,0,0,0,20,0,25,0,0,0,0,0,0
"Symbiodinium12596",0,0,36,39,0,0,0,0,28,12,63,0,0,6,7
"Symbiodinium12598",48,5,39,25,126,178,3,0,52,53,2,31,91,36,58
"Symbiodinium12600",148,195,418,146,533,45,170,0,407,289,346,188,225,303,199
"Symbiodinium12605",36,15,41,62,0,152,4,0,68,180,35,34,129,10,16
"Symbiodinium12608",15,22,85,28,0,0,29,0,5,0,0,28,18,8,0
"Symbiodinium12616",3,76,220,135,6,58,185,0,132,123,106,119,49,59,28
"Symbiodinium12619",14,0,54,16,0,0,0,0,0,32,0,3,3,2,18
"Symbiodinium12621",3,1,24,67,0,0,0,0,24,31,12,21,33,19,16
"Symbiodinium12622",0,0,54,0,35,0,0,0,0,0,0,50,0,2,0
"Symbiodinium12626",5,0,8,0,0,0,0,0,4,12,0,18,12,13,0
"Symbiodinium12634",0,11,6,0,0,0,0,0,11,0,9,10,0,0,0
"Symbiodinium12635",280,161,872,389,153,39,97,0,346,278,527,433,196,224,454
"Symbiodinium12637",15,119,243,149,30,1,150,0,84,49,95,125,11,41,207
"Symbiodinium12638",7,42,160,64,1,0,107,0,49,96,20,60,2,32,1
"Symbiodinium12639",221,196,900,668,223,81,849,0,401,509,821,654,573,273,1228
"Symbiodinium12642",0,0,22,21,3,0,0,0,6,0,0,0,0,15,0
"Symbiodinium12643",0,0,0,15,396,0,0,0,0,0,0,0,0,0,0
"Symbiodinium12646",194,105,446,223,242,0,261,1,323,321,138,329,333,226,271
"Symbiodinium12647",41,0,57,4,20,0,0,0,0,0,3,0,13,9,8
"Symbiodinium1265",22,50,77,62,0,1,252,0,78,159,56,73,102,36,16
"Symbiodinium12650",29,6,61,66,0,11,24,0,62,65,66,6,9,28,50
"Symbiodinium12662",0,0,0,0,0,0,0,0,33,0,3,0,43,0,7
"Symbiodinium12663",13,0,96,0,0,1,14,0,14,109,127,47,26,19,5
"Symbiodinium12666",0,9,0,0,0,0,0,0,0,0,32,0,27,0,81
"Symbiodinium12670",21,0,14,0,0,0,0,0,15,0,0,38,0,0,74
"Symbiodinium12671",0,1,27,0,0,0,0,0,0,0,0,14,0,4,0
"Symbiodinium12672",144,84,211,146,26,15,56,0,82,54,64,38,63,52,86
"Symbiodinium12673",0,3,0,0,55,0,63,0,4,0,27,0,0,13,0
"Symbiodinium12675",7,21,70,23,0,0,0,0,22,0,39,0,21,13,0
"Symbiodinium12684",48,88,172,111,875,41,672,0,83,224,247,130,146,111,379
"Symbiodinium12687",18,8,49,0,0,0,0,0,1,53,0,0,0,0,12
"Symbiodinium12689",63,28,187,50,108,0,175,0,144,96,126,104,40,38,62
"Symbiodinium1269",5,0,57,11,0,0,0,0,0,71,0,0,9,20,1
"Symbiodinium12693",44,7,56,46,0,35,17,0,47,0,86,39,0,33,177
"Symbiodinium12696",1,1,122,38,0,0,14,0,48,0,0,0,50,4,51
"Symbiodinium12697",7,0,33,21,128,49,0,0,0,0,12,0,0,0,0
"Symbiodinium12700",88,70,138,37,0,0,194,0,115,39,180,133,95,91,103
"Symbiodinium12702",3,0,4,9,0,0,37,0,16,0,39,8,0,17,0
"Symbiodinium12703",43,95,278,114,56,5,332,0,74,147,60,86,159,57,265
"Symbiodinium12704",0,0,0,10,0,0,0,0,0,0,30,0,0,5,12
"Symbiodinium12710",82,137,257,255,1560,1906,414,2460,152,276,625,202,198,133,175
"Symbiodinium12714",109,59,217,59,1,82,32,0,152,133,296,150,129,110,342
"Symbiodinium12717",354,235,712,470,331,27,760,0,237,713,575,365,850,335,1060
"Symbiodinium12720",31,0,12,11,0,0,0,0,15,0,70,0,65,20,8
"Symbiodinium12722",62,21,39,53,49,0,0,0,83,0,151,80,37,50,61
"Symbiodinium12724",22,2,19,14,0,0,0,0,0,0,0,25,1,3,0
"Symbiodinium12725",100,213,467,396,159,9,155,0,349,408,658,355,262,182,401
"Symbiodinium12729",17,0,0,20,0,0,0,0,0,0,40,0,0,0,0
"Symbiodinium12733",71,42,110,35,81,0,55,0,162,156,316,220,247,146,319
"Symbiodinium12736",103,46,197,104,338,0,411,0,142,75,215,118,14,160,101
"Symbiodinium12740",10,0,19,0,0,0,0,0,21,0,0,0,0,10,1
"Symbiodinium12743",0,7,21,0,0,0,35,0,26,0,63,51,4,42,0
"Symbiodinium12751",0,0,0,12,8,0,15,0,0,0,0,4,0,0,0
"Symbiodinium12754",9,6,54,78,4,0,0,0,35,0,0,0,30,5,0
"Symbiodinium12756",0,0,0,0,0,0,0,0,15,0,0,0,0,10,0
"Symbiodinium12761",17,0,130,36,0,0,11,0,32,1,11,88,52,27,49
"Symbiodinium12762",18,0,36,0,0,0,16,0,6,0,0,0,5,20,0
"Symbiodinium12764",8,0,0,0,0,0,0,0,0,0,55,0,0,17,0
"Symbiodinium12771",98,0,188,63,418,313,0,0,134,75,327,124,155,71,65
"Symbiodinium12773",4,5,88,2,0,0,72,0,12,28,64,17,6,15,3
"Symbiodinium12779",143,32,309,295,1,0,24,0,159,32,42,264,76,108,45
"Symbiodinium12781",4,5,0,11,345,0,0,0,19,0,66,0,0,0,0
"Symbiodinium12782",0,0,27,0,0,0,0,0,0,0,0,30,0,0,0
"Symbiodinium12786",0,1,27,0,0,0,0,0,17,0,0,0,59,1,0
"Symbiodinium12794",0,0,0,0,0,0,0,0,0,0,0,18,28,0,0
"Symbiodinium12797",0,7,0,12,0,0,56,0,0,0,23,13,22,3,0
"Symbiodinium12799",30,21,135,8,32,0,74,0,29,177,48,21,1,97,73
"Symbiodinium12804",2,10,13,0,0,51,0,0,0,0,0,0,0,0,0
"Symbiodinium12805",70,59,168,75,168,389,164,0,136,166,149,169,153,57,315
"Symbiodinium12807",0,0,1,3,0,0,10,0,34,54,0,0,0,14,0
"Symbiodinium12808",0,0,30,0,0,0,0,0,0,0,24,0,0,0,0
"Symbiodinium12810",0,0,0,15,0,0,0,0,0,29,1,0,0,0,0
"Symbiodinium12811",0,0,0,3,0,0,0,0,0,0,37,25,0,33,27
"Symbiodinium12814",0,0,23,0,0,189,0,0,0,0,3,0,0,0,47
"Symbiodinium12817",0,2,117,33,304,0,110,0,16,13,60,71,0,32,40
"Symbiodinium12821",11,15,43,43,0,0,1,0,16,124,16,0,0,2,12
"Symbiodinium12822",11,0,0,41,0,0,36,0,13,2,38,37,18,6,49
"Symbiodinium12825",36,21,25,37,0,0,0,0,40,46,22,4,17,26,0
"Symbiodinium12829",0,0,0,0,0,0,0,0,16,0,0,0,0,17,0
"Symbiodinium12830",95,89,212,78,128,0,63,0,170,132,60,127,149,65,284
"Symbiodinium12837",247,152,234,179,88,257,211,0,365,282,508,443,268,218,216
"Symbiodinium12844",72,52,203,66,281,694,85,0,104,187,244,219,69,84,190
"Symbiodinium12846",5,8,81,10,0,0,0,0,24,0,55,7,2,24,39
"Symbiodinium12847",1,46,49,56,0,172,20,0,46,39,41,31,28,28,120
"Symbiodinium12848",94,35,148,134,44,0,146,0,200,159,89,144,87,50,113
"Symbiodinium12849",112,22,194,141,191,20,117,0,181,64,160,189,59,135,93
"Symbiodinium12852",0,8,58,0,0,0,0,0,0,14,0,0,11,0,0
"Symbiodinium12855",0,0,43,10,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium12857",12,0,79,0,0,0,0,0,0,19,0,20,0,17,13
"Symbiodinium12861",78,232,390,374,1628,345,586,5,282,252,367,96,428,145,440
"Symbiodinium12863",37,1,14,1,0,33,23,0,47,0,21,0,54,23,29
"Symbiodinium12868",17,0,47,0,0,0,43,0,21,17,2,35,1,3,0
"Symbiodinium12873",31,0,0,16,0,0,0,0,0,0,0,0,3,13,61
"Symbiodinium12875",98,54,119,0,0,0,7,0,110,25,54,50,130,72,164
"Symbiodinium12876",27,44,136,31,260,0,110,0,74,0,41,36,34,1,109
"Symbiodinium12877",0,0,5,0,0,0,0,0,0,0,0,10,2,15,0
"Symbiodinium12883",0,0,22,10,0,0,0,0,0,36,0,0,0,0,0
"Symbiodinium12887",34,33,185,34,0,5,21,0,59,70,63,90,7,29,22
"Symbiodinium12888",101,101,167,109,257,168,251,0,160,54,196,192,124,133,72
"Symbiodinium12890",15,0,13,0,0,0,56,0,0,0,0,16,0,0,0
"Symbiodinium12891",166,109,253,212,770,291,406,0,345,234,167,344,297,274,870
"Symbiodinium12896",0,0,18,1,19,0,0,0,10,5,29,0,0,0,40
"Symbiodinium12897",0,19,16,16,0,0,4,0,96,0,93,0,6,22,140
"Symbiodinium12900",60,52,146,40,0,0,2,0,55,116,39,105,38,19,215
"Symbiodinium12901",38,67,87,44,30,193,50,0,72,65,65,45,26,65,191
"Symbiodinium12902",113,62,72,88,0,0,98,0,47,23,88,154,68,50,182
"Symbiodinium12903",0,0,0,0,0,0,18,0,18,0,46,0,0,0,0
"Symbiodinium12908",15,0,9,0,1,0,0,0,3,0,3,0,0,15,94
"Symbiodinium12911",27,22,43,63,0,0,11,0,0,61,21,30,81,12,101
"Symbiodinium12913",0,0,18,8,0,0,17,0,0,0,0,0,0,0,0
"Symbiodinium12915",4,0,0,0,17,0,0,0,0,0,0,47,0,0,0
"Symbiodinium12924",0,0,38,0,0,0,36,0,52,0,31,0,0,0,38
"Symbiodinium12926",40,45,252,122,58,0,76,0,145,184,40,97,39,59,114
"Symbiodinium12927",10,1,33,3,5,0,0,0,76,0,90,0,74,41,17
"Symbiodinium12929",60,39,92,102,137,238,194,0,129,120,113,83,53,80,199
"Symbiodinium12932",139,35,121,87,14,0,239,0,139,37,98,132,274,57,166
"Symbiodinium12934",32,0,0,0,0,0,0,0,3,0,0,16,0,15,0
"Symbiodinium12935",0,0,0,28,0,0,0,0,81,0,0,0,0,0,0
"Symbiodinium12936",0,10,49,21,0,0,0,0,10,76,0,0,0,5,0
"Symbiodinium12939",31,43,13,39,1308,0,0,0,0,20,37,36,67,35,147
"Symbiodinium12943",15,0,0,0,0,0,0,0,55,0,11,0,0,18,42
"Symbiodinium12944",15,29,139,47,30,0,0,0,42,49,109,43,100,4,112
"Symbiodinium12951",190,53,189,58,3,0,79,0,67,0,71,167,126,97,73
"Symbiodinium12953",0,0,0,0,0,0,102,0,0,0,0,0,0,0,41
"Symbiodinium12955",4,4,17,1,0,0,0,0,0,44,0,4,0,19,6
"Symbiodinium12956",94,63,24,47,268,32,0,0,79,17,77,23,42,104,203
"Symbiodinium12959",109,46,230,167,715,2,224,0,167,187,115,94,74,46,127
"Symbiodinium12960",20,51,95,116,0,15,24,0,122,69,99,206,63,67,22
"Symbiodinium12965",159,100,406,82,62,41,61,0,231,255,211,123,68,154,99
"Symbiodinium12966",0,2,23,0,0,0,0,0,16,0,0,0,0,0,0
"Symbiodinium12967",0,0,0,0,0,0,0,0,31,0,0,39,0,0,3
"Symbiodinium12970",0,0,25,0,0,0,0,0,0,0,0,10,0,0,0
"Symbiodinium12978",19,26,38,21,0,0,0,0,35,76,0,10,4,14,29
"Symbiodinium12982",58,23,142,23,0,0,0,0,54,42,59,64,88,47,0
"Symbiodinium12986",100,97,481,122,5,0,146,0,140,81,164,132,61,112,250
"Symbiodinium12989",28,5,11,77,0,0,37,0,11,101,27,28,10,33,2
"Symbiodinium12990",56,94,118,78,29,23,49,0,81,67,75,100,4,3,13
"Symbiodinium12992",0,0,0,0,0,0,0,0,0,73,80,9,0,7,0
"Symbiodinium12993",71,107,0,4,105,0,42,0,0,7,335,187,183,86,457
"Symbiodinium12996",27,38,103,40,204,0,28,0,94,87,170,0,102,30,101
"Symbiodinium13001",17,0,49,13,0,0,0,0,0,0,0,0,0,0,0
"Symbiodinium13002",0,0,30,2,93,0,0,0,0,0,0,12,0,1,0
"Symbiodinium13003",139,152,267,150,49,0,117,0,145,191,355,251,130,118,480
"Symbiodinium13006",70,125,107,52,1,3,73,0,179,25,103,172,50,147,95
"Symbiodinium13010",0,0,25,5,0,0,0,0,2,0,18,1,0,0,0
"Symbiodinium13011",8,8,14,14,0,0,11,0,0,0,5,65,24,27,0
"Symbiodinium13015",14,31,58,57,94,12,36,0,67,230,44,38,4,65,122
"Symbiodinium13018",55,37,195,64,12,1,233,0,28,74,172,211,126,17,178
"Symbiodinium1302",15,63,134,216,563,103,295,0,3,63,40,69,0,20,48
"Symbiodinium13024",32,45,14,18,3,0,17,0,117,22,0,22,0,86,38
"Symbiodinium13025",0,0,3,0,0,0,0,0,0,0,117,0,0,7,46
"Symbiodinium13029",0,54,18,0,0,0,0,0,12,53,0,21,11,7,35
"Symbiodinium13034",26,8,148,72,0,0,28,0,106,69,352,85,26,28,173
"Symbiodinium13035",7,12,42,24,0,0,0,0,21,0,0,51,10,12,0
"Symbiodinium13036",73,38,20,14,0,0,122,0,65,67,118,42,73,19,107
"Symbiodinium13037",29,37,72,28,0,0,36,0,63,69,0,17,38,38,26
"Symbiodinium13038",130,42,156,142,228,0,89,0,199,87,351,67,103,49,288
"Symbiodinium13039",19,0,0,0,0,0,0,0,0,0,0,0,0,11,7
"Symbiodinium1304",0,0,19,0,0,0,0,0,0,0,39,0,0,11,0
"Symbiodinium13042",0,0,0,0,0,0,0,0,0,0,0,12,43,0,0
"Symbiodinium13043",0,4,0,0,11,0,0,0,0,34,0,0,0,0,0
"Symbiodinium13045",0,6,0,22,0,0,0,0,34,0,0,0,0,0,0
"Symbiodinium13050",10,0,81,0,0,0,0,0,30,0,0,0,42,4,0
"Symbiodinium13056",0,0,5,24,0,0,0,0,0,0,4,9,2,15,24
"Symbiodinium13058",51,4,13,31,0,0,0,0,22,27,37,32,40,19,63
"Symbiodinium13059",137,201,440,323,227,12,497,0,201,410,266,356,115,147,331
"Symbiodinium13060",0,0,107,200,0,0,511,0,100,195,0,0,0,0,0
"Symbiodinium13061",86,53,94,56,0,5,0,0,56,105,101,48,44,115,270
"Symbiodinium13062",0,1,0,0,0,0,0,0,0,0,0,20,19,0,7
"Symbiodinium13063",0,2,27,0,0,0,23,0,0,35,19,10,0,0,0
"Symbiodinium13067",1,8,9,0,30,4,11,0,19,0,0,0,56,2,29
"Symbiodinium13077",0,0,17,0,0,0,0,0,0,0,0,0,0,13,0
"Symbiodinium13080",97,86,240,75,85,0,47,0,47,122,12,114,16,32,30
"Symbiodinium13081",15,0,17,27,0,0,15,0,10,0,0,13,5,0,0
"Symbiodinium13083",76,122,238,87,233,70,168,0,120,276,58,77,227,83,144
"Symbiodinium13084",0,13,0,0,0,0,0,0,0,19,0,0,0,0,0
"Symbiodinium13089",35,3,67,28,0,0,0,0,38,23,84,17,0,37,76
"Symbiodinium13091",1,3,28,0,0,0,0,0,5,0,0,24,0,14,42
"Symbiodinium13094",0,3,0,0,0,0,28,0,0,0,0,0,0,0,42
"Symbiodinium13097",73,60,144,105,0,0,154,0,71,92,57,76,10,29,10
"Symbiodinium13103",1,0,12,21,2,0,19,0,31,0,0,0,15,9,0
"Symbiodinium13104",33,36,210,71,78,0,211,0,139,103,391,95,168,110,234
"Symbiodinium13105",17,0,0,9,0,0,0,0,0,0,1,24,0,0,0
"Symbiodinium13107",0,0,15,0,0,0,0,0,0,0,0,0,0,11,46
"Symbiodinium13109",10,0,32,0,0,0,0,0,0,0,10,20,0,0,0
"Symbiodinium13113",142,116,129,79,407,61,92,0,117,172,167,301,149,66,405
"Symbiodinium13115",0,0,1,6,45,0,65,0,0,0,0,0,0,0,0
"Symbiodinium13116",2,0,20,0,0,0,0,0,0,33,0,0,51,0,0
"Symbiodinium13118",0,8,45,30,0,0,22,0,6,17,10,18,0,14,7
"Symbiodinium13119",94,154,190,223,1,0,197,0,156,249,104,282,109,81,331
"Symbiodinium13121",17,0,43,0,0,0,0,0,0,0,0,0,0,9,15
"Symbiodinium13122",29,19,59,38,0,0,2,0,3,0,13,14,86,27,0
"Symbiodinium13126",8,42,208,48,9,0,72,0,18,24,5,67,185,63,222
"Symbiodinium13129",0,3,0,0,0,35,0,0,0,28,0,0,0,0,0
"Symbiodinium13135",33,38,23,40,91,0,302,0,50,121,69,66,98,0,0
"Symbiodinium13137",5,35,109,22,0,12,17,0,57,80,93,87,45,26,149
"Symbiodinium13140",11,0,50,0,0,0,0,0,18,0,0,0,0,0,0
"Symbiodinium13143",10,23,20,0,12,0,1,0,0,86,0,0,0,0,38
"Symbiodinium13144",24,0,21,0,0,0,3,0,0,80,0,52,0,0,0
"Symbiodinium13154",10,0,0,8,0,0,0,0,29,0,0,18,1,0,6
"Symbiodinium13156",105,112,162,121,1,120,19,0,122,68,264,194,56,45,143
"Symbiodinium13162",0,1,0,5,106,46,0,0,0,0,34,0,6,0,0
"Symbiodinium13163",4,23,7,52,29,45,33,0,24,0,38,40,39,25,70
"Symbiodinium13175",13,0,29,42,0,0,0,0,33,80,60,29,17,2,0
"Symbiodinium13176",6,21,24,1,6,0,15,0,86,0,43,0,2,3,37
"Symbiodinium13185",9,28,77,69,0,0,0,0,0,40,64,34,39,20,97
"Symbiodinium13191",4,0,32,25,0,0,0,0,13,0,0,4,0,18,39
"Symbiodinium13195",43,22,87,36,210,0,9,0,47,0,71,11,7,26,32
"Symbiodinium13196",1,0,14,0,0,0,23,0,44,0,35,0,16,11,30
"Symbiodinium13197",0,0,0,0,0,0,0,0,24,0,0,0,26,0,35
"Symbiodinium13200",0,0,0,18,0,0,0,0,0,0,0,0,0,10,0
"Symbiodinium13208",47,25,89,33,155,0,60,0,44,77,49,131,34,21,5
"Symbiodinium13210",0,0,63,19,0,0,4,0,16,0,0,0,0,0,17
"Symbiodinium13211",2,0,4,0,0,0,0,0,17,29,0,13,0,0,0
"Symbiodinium13212",0,0,0,0,0,0,0,0,0,55,39,0,0,0,51
"Symbiodinium13223",0,0,0,0,0,0,10,0,0,0,0,0,0,13,0
"Symbiodinium13224",9,19,0,0,0,0,0,0,17,0,0,3,0,6,0
"Symbiodinium13226",0,0,0,0,0,0,0,0,0,0,0,0,10,10,0
"Symbiodinium13228",10,1,5,23,0,0,12,0,0,0,67,26,1,0,0
"Symbiodinium13230",27,16,0,59,12,0,81,0,46,0,26,11,0,26,17
"Symbiodinium13235",17,1,59,0,0,0,0,0,9,0,0,0,0,11,0
"Symbiodinium13241",0,7,51,0,0,0,0,0,0,0,68,78,58,0,0
"Symbiodinium13244",140,41,157,78,335,0,0,0,218,158,96,178,46,59,29
"Symbiodinium13253",0,0,49,6,8,0,0,0,0,0,0,15,0,1,48
"Symbiodinium13256",7,14,0,0,0,0,67,0,8,0,2,0,0,20,0
"Symbiodinium13258",15,45,51,0,0,0,47,0,0,0,7,0,0,48,0
"Symbiodinium13259",17,10,87,43,0,0,22,0,61,0,61,50,13,45,17
"Symbiodinium13261",33,9,7,29,104,0,11,0,49,0,57,0,20,4,63
"Symbiodinium13262",0,4,0,8,0,0,15,0,26,0,23,28,3,11,52
"Symbiodinium13263",1,9,24,0,0,304,0,0,0,32,0,0,0,4,56
"Symbiodinium13269",19,32,91,97,121,0,88,0,72,0,75,36,8,30,0
"Symbiodinium13272",145,135,442,185,9,0,21,0,161,135,65,216,190,88,6
"Symbiodinium13281",277,209,386,222,156,186,182,0,189,300,111,449,345,185,369
