Df,SumOfSqs,R2,F,Pr(>F)
2,511210160.77086246,0.18440785849558627,1.1438115272775418,0.28905471094528906
1,473218430.7241523,0.17070317475477054,2.1176132147541042,0.045904954095045906
8,1787742643.1874702,0.644888966749643,NA,NA
11,2772171234.6824856,1,NA,NA
