"Plot Title: KBNursery1.09.18"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 20194578, SEN S/N: 20194578)","Intensity, lum/ft² (LGR S/N: 20194578, SEN S/N: 20194578)","End Of File (LGR S/N: 20194578)"
103,01/17/18 08:00:00 PM,72.718,0.0,
104,01/17/18 10:00:00 PM,68.934,0.0,
105,01/18/18 12:00:00 AM,72.891,0.0,
106,01/18/18 02:00:00 AM,73.062,0.0,
107,01/18/18 04:00:00 AM,72.718,0.0,
108,01/18/18 06:00:00 AM,72.028,0.0,
109,01/18/18 08:00:00 AM,68.592,0.0,
110,01/18/18 10:00:00 AM,67.564,0.0,
111,01/18/18 12:00:00 PM,70.137,0.0,
112,01/18/18 02:00:00 PM,70.824,0.0,
113,01/18/18 04:00:00 PM,72.718,1.0,
114,01/18/18 06:00:00 PM,73.753,0.0,
115,01/18/18 08:00:00 PM,72.372,0.0,
116,01/18/18 10:00:00 PM,70.308,0.0,
117,01/19/18 12:00:00 AM,69.964,0.0,
118,01/19/18 02:00:00 AM,69.449,0.0,
119,01/19/18 04:00:00 AM,69.278,0.0,
120,01/19/18 06:00:00 AM,68.934,0.0,
121,01/19/18 08:00:00 AM,68.763,0.0,
122,01/19/18 10:00:00 AM,70.824,0.0,
123,01/19/18 12:00:00 PM,73.062,0.0,
124,01/19/18 02:00:00 PM,72.372,0.0,
125,01/19/18 04:00:00 PM,72.372,0.0,
126,01/19/18 06:00:00 PM,71.856,0.0,
127,01/19/18 08:00:00 PM,71.512,0.0,
128,01/19/18 10:00:00 PM,70.995,0.0,
129,01/20/18 12:00:00 AM,70.995,0.0,
130,01/20/18 02:00:00 AM,70.995,0.0,
131,01/20/18 04:00:00 AM,71.683,0.0,
132,01/20/18 06:00:00 AM,71.856,0.0,
133,01/20/18 08:00:00 AM,71.512,0.0,
134,01/20/18 10:00:00 AM,71.512,0.0,
135,01/20/18 12:00:00 PM,71.683,0.0,
136,01/20/18 02:00:00 PM,71.683,0.0,
137,01/20/18 04:00:00 PM,71.683,0.0,
138,01/20/18 06:00:00 PM,71.856,0.0,
139,01/20/18 08:00:00 PM,72.891,0.0,
140,01/20/18 10:00:00 PM,73.062,0.0,
141,01/21/18 12:00:00 AM,72.199,0.0,
142,01/21/18 02:00:00 AM,72.028,0.0,
